diseaseLabel,symptomsLabel,treatmentLabel,differentFromLabel,riskLabel,causeLabel,diagnosisLabel,icd9,icd10,umls,mesh,nci,article
colite de Crohn,"abcès,diarrhée,hémorragie,inflammation","acide para-aminosalycilique,azathioprine,cholécalciférol,thalidomide", , , , ,555.1,K50.1,C0156147, ,"C35211,C37262", 
sclérose latérale amyotrophique type 1, , , , , , , ,G12.2,"C1862939,C1862941,C3542025", ,C168749, 
Q18553714, , , , , , , , ,C1847735,C564688, , 
sclérose latérale amyotrophique type 9, , , , , , , , ,C2678468,C567499, , 
sclérose latérale amyotrophique type 11, , , , , , , , ,C2675491,C567244,C168753, 
Q18553723, , , , , , , , ,C3275459, , , 
Q18553724, , , , , , , , ,C3280587, , , 
Q18553726, , , , , , , , ,C3553719, , , 
Q18553727, , , , , , , , ,C3715155, , , 
Q18553728, , , , , , , , ,C3715156, , , 
Q18553729, , , , , , , , ,"C1853723,C3807521", ,C168755, 
syndrome de Cogan-Reese, , , , , , , ,H21.2,C1168173, ,C84644, 
Q18553740, , , , , , , , , , , , 
trouble de la résorption osseuse, , , , , , , , , , , , 
dysplasie spondylo-épimétaphysaire type Missouri, , , , , , , ,Q77.7,"C1865832,C2748495", , , 
dysplasie acromésomélique, , , , , , , , ,C0265278,C535658, , 
emphysème compensateur, , , , , , ,518.2,J98.3,C0155918, , , 
mélanome de la paupière, , , , , , ,172.1, ,C0339116, ,C4358, 
tumeur sous-glottique, , , , , , , , , , , , 
léiomyome gastrique, , , , , , , , ,C0238440, ,C3876, 
abcès intracranien, , , , , , ,324.0, ,C0021874, ,C34734, 
hyperpigmentation de la paupière, , , , , , ,374.52,H02.71,"C0155211,C0854438,C4280440",C562400, , 
hydrops cornéen, , , , , , ,371.62, ,C0339286, , , 
cancer du diverticule de Meckel, , , , , , ,152.3, ,C0153429, , , 
Q18553803, , , , , , , , ,C0852937, ,C5063, 
Q18553808, , , , , , , , ,C1335744, ,C5101, 
lipome du sein, , , , , , ,214.1, ,C0349565, ,C4647, 
Q18553812, , , , , , , , ,C1333747, ,C5835, 
lipome de l'oreille externe, , , , , , ,215.0, ,C0347423, ,C4618, 
lipome de l'aisselle, , , , , , ,214.8, ,C0347429, ,C35419, 
lipome du cordon spermatique, , , , , , ,214.4, ,C0153972, ,C3606, 
Q18553818, , , , , , , , ,C1333509, ,C5854, 
pneumoconiose à poussières mixtes, , , , , , ,503, ,C0340184, ,C27559, 
schistose, , , , , , ,502, ,C0340186, ,C35397, 
leucémie lymphoblastique, ,"(RS)-lénalidomide,Q417555,dasatinib monohydraté,ibrutinib,vincristine", , , , ,"204,204.9","C91,C91.9,C91.90",C0023448, ,"C7176,C7539", 
infection gonococcique chronique des vésicules séminales, , , , , , ,098.34, ,C0153205, , , 
ulcère à hypopion, , , , , , ,370.04,H16.03,C0155070, , , 
ulcère de la cornée annulaire, , , , , , ,370.02,H16.02,C0155068, , , 
granulome orbitaire, , , , , , ,376.11,H05.11,C0155262, ,C3653, 
otomycose chronique, , , , , , ,380.15, ,C0155396, , , 
infection aiguë  du Pavillon de l'oreille, , , , , , ,380.11, ,C0155392, , , 
infarctus antéro-latéral aigu, , , , , , ,"410.0,410.00,410.01,410.02", ,C0155627, , , 
glaucome résiduel à angle ouvert, , , , , , ,365.15,H40.15,C0154944, , , 
lipidose cérébrale, , , , , , ,330.1, ,C0007788, , , 
sinusite frontale chronique, , , , , , ,473.1,J32.1,C0008683, ,C34473, 
sinusite frontale, , , , , , , ,J32.1,C0016735,D015522,C34626, 
sphénoïdite chronique, , , , , , ,473.3,J32.3,C0008712, ,C34480, 
orchiépididymite aiguë à gonocoques, , , , , , ,098.13, ,C0153193, , , 
Q18553944, , , , , , , , ,C1334923, ,C7604, 
hypertension essentielle maligne, , , , , , ,401.0, ,C0024588, ,C34802, 
granulome à cholestérine, , , , , , ,385.82, ,C0155492, ,C3655, 
ulcère gastro-jéjunal, , , , , , ,534.0,K28.0,C0156042, , , 
salpingo-ovarite aiguë, , , , , , ,614.0,"N70.0,N70.03",C0156327, , , 
salpingo-ovarite, , , , , , ,614.2,"N70,N70.9,N70.93",C0036133, , , 
carcinome de l’œsophage, , , ,fumer, , , , ,C0152018, ,C3513, 
Q18554002, , , , , , , , ,C1333460, ,C5707, 
kyste de la prostate, , , , , , ,"599.89,600.3",N42.83,C1443972, , , 
Q18554015, , , , , , , , ,C1333466, ,C5341, 
ophtalmoplégie interne totale, , , , , , ,367.52, ,C0152197, , , 
conjonctivite pseudomembraneuse, , , , ,Corynebacterium diphtheriae, ,372.04,H10.22,C0155144, ,C35196, 
conjonctivite allergique aigüe, , , , , , ,372.05,H10.1,C0001309, ,C34353, 
tumeur de l'appendice, , , , , , , , ,C0003614,D001063,C4434, 
polycythémie du nouveau-né, , , , , , ,776.4,P61.1,C0272153, ,C27069, 
neutropénie néonatale transitoire, , , , , , ,776.7,P61.5,C0158997, , , 
parodontite apicale chronique, , , , , , ,522.6,K04.5,C0392492, , , 
infarctus de l'hypophyse, , , , , , ,253.8, ,C0342405, ,C27117, 
diarrhée fonctionnelle,diarrhée, , , , , ,564.5,K59.1,C0156173, , , 
méningiome spinal, , , , , , , , ,C0347515, ,C6935, 
artérite  du système nerveux central, , , , , , ,437.4, ,C0007773, , , 
exotropie alternante, , , , , , ,378.15,H50.15,C0152207, , , 
endométriose de l'intestin, , , , , , ,617.5,N80.5,C0156347, , , 
Ictère néonatal dû à des lésions hépatocellulaires, , , , , , ,774.4, ,C0158976, , , 
maladie du système nerveux autonome, , , , , , ,337.1, ,C0154691, , , 
cancer sous-glottique, , , , , , ,161.2,C32.2,C0153485, ,C3546, 
neuropathie périphérique autonome idiopathique, , , , , , ,"337.0,337.00","G90.0,G90.09",C0154690, , , 
cécité nocturne acquise, , , , , , ,368.62,H53.62,C0152202, , , 
neuropathie autonome, , , , , , , , ,C0259749,D001342,C27033, 
abcès cornéen, , , , , , ,370.55,H16.31,C0155091, ,C26969, 
plis et ruptures de la membrane de Bowman, , , , , , ,371.31,H18.31,C0155115, , , 
otite séreuse aiguë, , , ,fumer, , ,381.01,"H65.0,H65.00",C0155415, , , 
cancer de la paroi latérale de la vessie, , , , , , ,188.2,C67.2,C0496828, ,C12333, 
cancer du péricarde, , , , , , , ,C38.0,"C0346609,C0349574", ,"C4567,C4651", 
tumeur du pénis, , , , , , , , ,C0030849,D010412,C3317, 
hypopigmentation de la paupière, , , , , , ,374.53,H02.73,C0155212, , , 
hypotrichose de la paupière, , , , , , ,374.55,H02.72,C0155214, , , 
tumeur maligne du paramètre, , , , , , ,183.4,C57.3,C0153581, , , 
endophtalmie aigüe, , , , , , ,360.01,"H44.0,H44.1",C0154773, , , 
nystagmus spontané, , , , , , ,379.53,H55.03,C0271384, , , 
cancer de la paroi antérieure de la vessie, , , , , , ,188.3,C67.3,C0153611, , , 
dégénérescence du corps vitré, , , , , , ,379.21,H43.81,C0155366, , , 
cancer du gland, , , , , , ,187.2,C60.1,C0153599, , , 
choriorétinite focale périphérique, , , , , , ,363.04, ,C0339394, , , 
kératite maculaire, , , , , , ,370.22,H16.11,C0155076, , , 
tumeur bénigne de l'uretère, , , , , , ,239.5, ,C0041955, ,C3427, 
Q18554207, , , , , , , , ,C1336875, ,C6161, 
schwannome de l'uretère, , , , , , , , ,C1336877, ,C6162, 
sarcome  de la trachée, , , , , , , , ,C1336774, ,C6050, 
Q18554223, , , , , , , , ,C0345946, ,C4448, 
ictère par incompatibilité rhésus, , , , ,Incompatibilité fœto-maternelle, ,773.4,P57.0,C0270204, ,C101270, 
spondylopathie inflammatoire, , , , , , ,"720.81,720.89,720.9", ,C0021396, , , 
dégénérescence rétinienne sénile réticulaire, , , , , , ,362.64, ,C0154857, , , 
dégénérescence rétinienne pavimenteuse, , , , , , ,362.61,H35.43,C0154854, , , 
dégénérescence vitréo-rétinienne secondaire, , , , , , ,362.66,H35.46,C0154859, , , 
kératite superficielle, , , , , , ,370.20,H16.10,C0155074, , , 
lymphome du testicule, , , , , , ,186.9, ,C0349644, ,C6810, 
pigmentation de la conjonctive, , , , , , ,372.55,H11.13,C0155163, , , 
sténose des organes génitaux masculins, , , , , , ,608.85, ,C0156316, , , 
Q18554301, , , , , , , , ,C0585129, ,C4832, 
pneumonie nécrosante staphylococcique, , , , , , , ,J15.2, , , , 
infection à orthopoxvirus, , , , ,infection, , ,B08.0, , , , 
Infection nécrosante des tissus mous, , , , , , ,"136.9,729.99",M72.6,C2732890, , , 
myiase furonculoïde, , , , , , , ,B87.0,C2931766,C538194, , 
amibiase à Entamoeba histolytica, , , , ,infection, , ,"A06.0,A06.1,A06.2,A06.3,A06.4,A06.5,A06.6,A06.7,A06.8,A06.9",C2930799,C531613, , 
amibiase à amibes libres, , , , , , , ,"B60.1,B60.2", , , , 
Q55788465, , , , , , , , , , , , 
infection congénitale au virus d'Epstein Barr, , , , , , , ,P35.8, , , , 
diarrhée intraitable de l'enfant, , , , , , , , , , , , 
encéphalite à mycoplasmes, , , , , , , ,B96.0, , , , 
maladie de Castleman chez l'enfant, , , , , , , ,D36.0, , , , 
encéphalite chronique, , , , , , , , , , , , 
Q55789146, , , , , , , , , , , , 
syndrome du choc toxique staphylococcique, , , , , , ,040.89,A48.3,C3714602, , , 
Q55789456, , , , , , , ,A75.0, , , , 
infection bactérienne à gram positif, , , , ,infection, ,041.89, , ,D016908, , 
actinomycose aérobie, , , , , , , , ,C2931717,C538054, , 
aspergillose à Aspergillus niger, , , , ,infection, , , , ,C535390, , 
candidose à Candida glabrata, , , , ,infection, , , , , , , 
helminthiase intestinale, , , , , , , , , ,C531698, , 
folliculite à Demodex, , , , ,infestation parasitaire, ,"133.8,704.8", , , , , 
hirudiniase externe, , , , , , , ,B88.3, , , , 
otite moyenne infectieuse, , , , , , , , ,C2827407, ,C84354, 
infection virale des voies respiratoires, , , , ,"Adenoviridae,Coronaviridae,Echovirus,Entérovirus,Metapneumovirus humain,Virus coxsackie,Virus respiratoire,parainfluenza,rhinovirus,virus de la grippe,virus respiratoire syncytial", ,519.8, ,C0877203, ,C27219, 
infection à Peptostreptococcus, , , , ,infection, ,041.84, ,C1096562, , , 
cellulite à anaérobies, , , , , , ,"041.84,682.9", ,C0241828, , , 
infection des ongles, ,terbinafine, , , , , , ,C0343026, ,C78493, 
Q55790751, , , , , , , , ,C3272833, ,C96510, 
toxocarose à Toxocara canis, , , , ,"ascaris du chien,infection", , , , ,C531834, , 
cervicite à Trichomonas,col framboisé, , , , , , , ,C0742232, ,C35588, 
vulvovaginite à trichomonas, , , , , , ,131.01, ,C2945558, , , 
infection à Bocavirus,"diarrhée,fièvre,pneumonie atypique,rhinorrhée,toux,éternuement", , , ,Bocavirus,"méthode immuno-enzymatique ELISA,réaction en chaîne par polymérase", , ,C4087161, , , 
grippe espagnole de 1918-1919 en Suisse, , , , , , , , , , , , 
infection à métapneumovirus,"bronchiolite,congestion nasale,dyspnée,empoisonnement,fièvre,pneumonie,rhinorrhée,toux,éternuement",ribavirine, , ,Metapneumovirus,"méthode immuno-enzymatique ELISA,réaction en chaîne par polymérase", , ,C1736136, , , 
Encéphalite de Californie,"altération de l'état de conscience,conjonctivite,céphalée,désorientation,examen des signes méningés,exanthème,fièvre,nausée,parésie,spasme,vomissement","diazépam,phénytoïne", , ,virus de l'encéphalite de Californie,"examen clinique,hémogramme,immunofluorescence,neutralisation,ponction lombaire,réaction en chaîne par polymérase", ,A83.5, , , , 
infection  à Mycoplasma pneumoniae,"arthralgie,bronchite,céphalée,douleur,fatigue,fièvre,malaise,rhinorrhée,toux", , , ,Mycoplasma pneumoniae, , ,"J15.7,J20.0", , , , 
Q109647487, ,"céphalosporine,macrolide", , ,Bordetella parapertussis, , , , , , , 
Q110391577, , , , , , , , , , , , 
Q110624138,"céphalée,examen des signes méningés,fièvre,mal de gorge,nausée,rhinite,toux,vomissement", , , ,Jamestown Canyon orthobunyavirus,"Examen clinique neurologique,Test de fixation du complément,culture virale,immunofluorescence,méthode immuno-enzymatique ELISA,ponction lombaire,test d'hémagglutination", , , , , , 
Strongylose, , , , ,Strongylida, , , , , , , 
Q111968783, , , , , , , , , , , , 
sélénose,"altération visuelle,bronchite,brûlure,brûlures oculaires,céphalée,dermatite,dermatite irritative,dysgueusie,dyspnée,fièvre,frissonnement,haleine d'ail,irritation de la gorge,irritation nasale,irritation oculaire,trouble gastro-intestinal", , , ,sélénium, , , ,CL495082, , , 
Q111030833, , , , , , , , , , , , 
Morgellons, , , , , , , , , ,D055535, , 
syndrome de l'enfant adopté, , , , ,adoption, , , , , , , 
insuffisance veineuse céphalorachidienne, , , , , , , , ,CL529180,D014689, , 
subluxation vertébrale, , , , , , , , , , , , 
sensibilité électromagnétique, , , , , , , , , , , , 
Q1506840, , , , , , , , , , , , 
Q1647542, , , , , , , , , , , , 
drapétomanie, , , , , , , , , , , , 
candidose chronique, , , , , , , , , , , , 
hysterie féminine, , , , , , , , , , , , 
syndrome de l'enfant abandonné, , , , ,abandon d'enfant, , , , , , , 
fatigue surrénale, , , , , , , , , , , , 
entérocolite autistique, , , , , , , , , , , , 
Q4914474, , , , , , , , , , , , 
délire agité,"agitation psychomotrice,syndrome confusionnel,transpiration animale", , , , , , , ,C1848465, , , 
Q6129168, , , , , , , , , , , , 
syndrome de Meares-Irlen, , , , , , , , , , , , 
syndrome de myosite de tension, , , , , , , , , , , , 
syndrome de l'éolienne, , , , , , , , , , , , 
Q11880793, , , , , , , , , , , , 
syndrome de la température de Wilson, , ,maladie de Wilson, , , , , , , , , 
Q16529308, , , , ,trop grande sollicitation, , , , , , , 
hyperperméabilité intestinale, , ,Perméabilité intestinale, , , , , , , , , 
maladie de Lyme chronique, , ,"Q96693925,maladie de Lyme", , , , , ,C3890422, , , 
intolérance au gluten non cœliaque, , , , , , , , , , , , 
syndrome de déficience posturale, , , , , , , , , , , , 
syndrome des micro-ondes, , , , , , , , , , , , 
Autisme virtuel, , , , , , , , , , , , 
Q60768019, , , , , , , , , , , , 
syndrome de Highlander, , , , , , , , , , , , 
Q101437279, , , , , , , , , , , , 
manie unipolaire, , , , , , , , , , , , 
déviation médiastinale, , , , , , , , ,C0264576, , , 
diprosopie, , ,jumeaux siamois, , , , , , , , , 
syndrome de Norman Roberts, , , , , , , ,Q04.3,C0796089,C537848, , 
fucosidose, , , , , , ,271.8,E77.1,C0016788,D005645,C61274, 
Syndrome de Holt-Oram, , , , , , ,759.89,Q87.2,C0265264,C535326,C125592, 
hétérotaxie, , , , , , , ,Q89.3,"C0266642,C1167664,C1415817,C1854334,C3178806",D059446,C87083, 
syndrome de Klinefelter,"azoospermie,dyslexie,faiblesse musculaire,gynécomastie,hypogonadisme,obésité,ostéoporose",testostérone,"syndrome 47,XYY", , , ,758.7,"Q98.0,Q98.4",C0022735,D007713,C34752, 
syndrome de délétion du chromosome 1q21.1, , , , , , ,758.33,Q93.5,C2675897, , , 
progéria, , , , , , ,259.8,E34.8,"C0033300,C2750285",D011371,C34951, 
polyploïdie, , , , , , , ,Q92.7,C0032578,D011123, , 
Syndrome 5q-, ,(RS)-lénalidomide, , , , , ,D46.7,"C0740302,C1292779,C1835193",C535323,C6867, 
maladie adénomatoïde kystique du poumon, , , , , , , ,Q33.0,"C0010668,C0158641",D015615,C98892, 
Syndrome de Prune Belly, , , , , , ,756.71,Q79.4,"C0033770,C0265363",D011535,C85033, 
Alpha-mannosidose, , , , , , ,271.8,E77.1,C0024748,D008363,C84548, 
SADDAN, , , , , , ,"757.39,783.40",Q77.4,C2674173, , , 
"syndrome 47,XYY", , , , , , , ,Q98.5,"C0043379,C3266843",D014997,C85237, 
Anomalie d'Ebstein, , , , , , ,746.2,Q22.5,C0013481,D004437,C84681, 
syndrome de Protée, , , , , , ,759.89,Q87.3,"C0085261,C1867610",D016715,C85032, 
bêta-mannosidose, , , , , , ,271.8,E77.1,"C0342849,C2931893,C4048196",D044905,C84596, 
Syndrome d'Aase, , , , , , , ,Q87.8,C0220686,C535332, , 
A-bêta-lipoprotéinémie, , , , , , , ,E78.6,C0000744,D000012,C84525, 
adermatoglyphie, , , , , , , ,Q82.8,"C1851080,C1852150",C565010, , 
polydactylie, , , , , , ,"755.0,755.00","Q69,Q69.0,Q69.1,Q69.2,Q69.9","C0152427,C0220697",D017689,C87110, 
Syndrome de Townes-Brocks, , , , , , ,759.89,Q87.8,"C0265246,C1862683,CN034849",C536974,C99085, 
hypotonie primaire de l'oeil, , , , , , ,360.31,H44.44,C0154782, , , 
labyrinthite virale,"nausée,vomissement", , , , , ,386.35, ,C0155508, , , 
exophtalmie thyréotoxique, , , , , , ,376.21, ,C0155265, , , 
dégénérescence de la cornée, , , , , , ,"371.4,371.40,371.49","H18.4,H18.40",C0155118, , , 
entropion spasmodique, , , , , , ,374.03, ,C0155190, , , 
luxation du globe oculaire, , , , , , ,360.81,H44.82,C0154806, , , 
coma hépatique, ,"kanamycine,lactulose", , , , ,070.42,K72.91,C0019147, , , 
hernie hiatale congénitale, , , , , , ,750.6,Q40.1,C0158674, , , 
Anomalies de la correspondance rétinienne, , , , , , ,368.34,H53.31,C0155010, , , 
salpingite gonococcique chronique, , , , , , ,098.37, ,C0153208, , , 
cancer du canal lacrymal, , , , , , ,190.7, ,C0153631, ,C3567, 
cancer de la choroïde, , , , , , ,190.6,C69.3,"C0008523,C0153630", ,"C2949,C3566", 
entropion sénile, , , , , , ,374.01, ,C0155188, , , 
maladies du rectum, , , , , , ,569.49, ,C0034882,D012002, , 
leucémie subleucémique, , , , , , , , ,CL495906, , , 
dacryocystite phlegmoneuse, , , , , , ,375.33,H04.31,C0155238, , , 
lagophtalmie cicatricielle, , , , , , ,374.23,H02.21,C0155199, , , 
onychomycose à dermatophyte, , , , ,infection, ,681.9, ,C0007644, , , 
artériopathies intracrâniennes, , , , , , , , ,C0752138,D020765, , 
spondylite gonococcique, , , , , , ,098.53, ,C0153219, , , 
ophtalmoplégie exophtalmique, , , , , , ,376.22, ,C0152135, , , 
hypertension secondaire bénigne, , , , , , ,"405.1,405.19", ,C0155620, ,C3658, 
Q18554454, , , , , , , , ,C0349551, ,C4643, 
goitre endothoracique, , , , , , , , ,C0018024,D006045, , 
léiomyome sous-muqueux de l'utérus, , , , , , ,218.0,D25.0,C0153993, , , 
dystrophies rétiniennes impliquant principalement la membrane de Bruch, , , , , , ,362.77, ,C0154866, , , 
cancer bronchique, , , , , , ,"162.8,162.9","C34,C34.9",C0348343, , , 
diverticulite du colon,inflammation, , , , , ,"562.11,562.12", ,"C0012814,C0156168",D004239, , 
hypertrophie des papilles linguales, , , , , , ,529.3,K14.3,C0392494, , , 
affections parasitaires de la conjonctive, , , , , , ,372.15, ,C0155148, , , 
charbon gastro-intestinal,"diarrhée,vomissement", , , , , ,022.2,A22.2,C0152945,C571911, , 
sarcoïdose cérébrale, , , , , , , , ,C0398676, ,C35441, 
sarcoïdose pulmonaire, ,prednisone, , , , ,517.8,D86.0,C0036205,D017565,C34997, 
sarcoïdose hypercalcémique, , , , , , , , ,C1334067, ,C35807, 
perforation des canaux biliaires, , , , , , ,576.3,K83.2,C0156218, ,C78528, 
sténose de l'artère basilaire, , , , , , ,"433.0,433.00,433.01",I65.1,C0265098, , , 
pigmentation postérieure de la cornée, , , , , , ,371.13,H18.05,C0155106, , , 
synovite gonococcique, , , , , , ,098.51, ,C0343714, , , 
ptérygion central, , , , , , ,372.43, ,C0155156, , , 
cancer du jéjunum, , , , , , ,152.1,C17.1,C0153427, , , 
labyrinthite purulente, , , , , , ,386.33, ,C0155506, , , 
syndrome parkinsonien secondaire, ,Q6798291, , , , ,332.1,"G21,G21.9",C0030569,D010302,C34899, 
lymphome du sinus paranasal, , , , , , , , ,C1335339, ,C6068, 
cholestase extrahépatique, , , , , , , , ,C0005398,D001651,C34420, 
tumeur du sinus ethmoïdal, , , , , , , , ,C0345668, ,C4416, 
Polynévrite au cours d'une affection du collagène vasculaire, , , , , , ,"357.1,357.4", ,C0154759, , , 
rétrécissement urétral infectieux, , , , , , ,"136.9,598.00,598.01", ,C0156282, , , 
ulcère de l'anus et du rectum, , , , , , ,569.41,K62.6,C0400832, , , 
schistosomiase du système nerveux central, , , , , , , , ,C0752191,D020818, , 
infarctus du foie, , , , , , ,573.4,K76.3,C0151731, , , 
Q18554591, , , , , , , , ,C1336047, ,C5145, 
lipome de la colonne vertébrale, , , , , , ,214.8, ,C0347446, ,C4619, 
conjonctivite à inclusions, , , , ,Chlamydia trachomatis, ,"077.0,077.98",A74.0,"C0009770,C0343723",D003235,C116817, 
daltonisme acquis, , , , , , ,368.55,H53.52,C0155018, ,C118712, 
maladies du nerf et des voies optiques, , , , , , , ,H47.9,C0155287, ,C35342, 
bilharziose urinaire, , , , ,Schistosoma haematobium, ,120.0, ,C0276926,D012553,"C35362,C39294", 
prostatite aigüe à gonocoques, , , , , , ,098.12, ,C0153192, , , 
maladie de l'appareil lacrymal, , , , , , ,"375,375.9","H04,H04.9",C0022904,D007766,C26809, 
algoneurodystrophie, , , , , , ,733.7,"M89.0,M89.00", , , , 
Q18554662, , , , , , , , ,C0153495, , , 
labyrinthite toxique, , , , , , ,386.34, ,C0155507, , , 
carie radiculaire, , , , , , ,521.08, ,C0162644,D017213, , 
tumeur  du nerf abducens, , , , , , ,239.7, ,C1263898, ,C5826, 
dysfonction ovarienne, ,Q5103213, , , , ,"256.3,256.39,256.8,256.9",E28,"C0029697,C0747102", ,C113351, 
érosion de la la pulpe dentaire, , , , , , ,521.33, ,C1456163, , , 
Calcul urétéral, , , , , , ,592.1, ,C0041952,D053039,C114696, 
Q18554697, , , , , , , , ,C1336045, ,C5158, 
polynévrite médicamenteuse, , , , , , ,357.6,G62.0,C0154762, , , 
calcifications trachéales, , , , , , ,519.19, ,C0264324, ,C35314, 
otite moyenne chronique antro-atticale, , , , , , ,382.2,"H66.2,H66.20",C0155441, , , 
dégénérescence cérébrorétinienne, , , , , , ,362.71, ,C0154861, , , 
Q18554789, , , , , , , , ,C1519233, ,C39906, 
Q18554814, , , , , , , , ,C0268340, , , 
maladie du caecum, , , , , , , , ,C0007527,D002429, , 
Q18554836, , , , , , , , ,"C1334927,C3887461", ,"C35850,C6077", 
Q18554842, , , , , , , , , , , , 
Q18554852, , , , , , , , ,C1511317, ,C40399, 
papillomatose mammaire, , , , , , , , ,C1332636, ,C6977, 
pneumothorax spontané avec pression positive, , , , , , ,512.0,J93.0,C0155907, , , 
occlusion  veineuse de la rétine, ,"Dexaméthasone,acide acétylsalicylique,acétonide de triamcinolone,aflibercept,bevacizumab,bétaméthasone,ranibizumab", , , , , , ,C0035328,D012170,C34981, 
Q18554888, , , , , , , , ,C0238197, ,C7725, 
psychose d'origine médicamenteuse, , , , , , ,292.1, ,C0033937,D011605, , 
carcinome à cellules squameuses de la conjonctive, , , , , , , , ,C0346359, ,C4549, 
histoplasmose américaine, , , , , , ,"115.0,115.00",B39.4,C0153261, , , 
tumeur du nerf facial, , , , , , ,239.7, ,C1263899, ,C5827, 
cancer de l'hypophyse, , , , , , ,239.7,C75.1,"C0032019,C0496842", ,"C3330,C4769", 
Q18554904, , , , , , , , ,C1377610, ,C7633, 
tumeur des cellules des îlots de langerhans, , , , , , , ,"C25.4,D13.7","C0242363,C0496784,CL480914", ,C27031, 
mononévrite du membre supérieur, , , , , , ,354.9, ,C0154746, , , 
cancer de la mâchoire, , , , , , , , ,C0022364, , , 
tumeur maligne du crâne, , , , , , , , ,C0037305, ,C3375, 
péricardite rhumatismale, , , , , , ,393,I09.2,C0155561, , , 
Q18554935, , , , , , , , ,C1336945, ,C6379, 
strabisme intermittent, , , , , , ,"378.2,378.20","H50.3,H50.30",C0152210, , , 
carcinome des trompes de Fallope, ,"Niraparib,Rucaparib,bevacizumab", , , , , , ,C0238122, ,C3867, 
Q18554950, , , , , , , , ,C1517117, ,C40124, 
lymphome du rectum, , , , , , , , ,C1335685, ,C5553, 
sinusite maxillaire aiguë, ,"cefdinir,cefpodoxime", , , , ,461.0,"J01.0,J01.00",C0155804, , , 
Q18554978, , , , , , , , ,C0220616, ,C6434, 
Q18554979, , , , , , , , ,C1336982, ,C6376, 
syndrome de la moelle épinière attachée, , , , , , ,741,"Q05,Q05.9",C0080178, ,C99080, 
syndrome d'Aicardi, , ,Syndrome d'Aicardi-Goutières, , , , ,Q04.0,C0175713,D058540,C35256, 
nanisme mésomélique type Nievergelt, , , , , , , ,Q78.8,C0432231,C536120, , 
syndrome tricho-oculo-dermo-vertebral, , , , , , , , ,"C1866427,C2931256",C536593, , 
tétraploïdie, , , , , , , ,Q92.7,C0333694,D057891, , 
trisomie 18, , ,syndrome oro-facio-digital type 8, , , ,758.2,"Q91.0,Q91.1,Q91.2,Q91.3",C0152096,D000073842,"C101362,C36626", 
syndrome de Bannayan-Riley-Ruvalcaba, , , , , , ,759.6,"Q87.8,Q87.89",C0265326, ,C3939, 
chromosome en anneau, , , , , , , ,Q93.2, ,D012303,C3360, 
Syndrome de Simpson-Golabi-Behmel, , , , , , ,759.89,Q87.3,C0796154,C537340,"C118787,C131002", 
Syndrome de Camurati-Engelmann, , , , , , ,756.59,Q78.3,"C0011989,C2931842",D003966,C84610, 
trisomie 16, , , , , , , ,Q92.1,C1519651,C538041,C37866, 
macroglossie, , , , , , , ,Q38.2,"C0009677,C0024421",D008260, , 
rétrécissement aortique,"angine de poitrine,syncope", , , , , , , ,"C0003507,C0152417,C0155567,C3542024",D001024,C50462, 
syndrome d'Angelman, , , , , , ,759.89,Q93.5,"C0162635,C1412397",D017204,C75462, 
anomalies du tube neural, , , , , , ,742.8, ,"C0027794,C0080218",D009436,C84923, 
syndrome de Williams,sténose aortique supravalvulaire, , , , , ,759.89,Q87.8,C0175702,D018980,C85232, 
anorchidie, , ,anarchie, , , , ,Q55.0, , , , 
chérubisme, , , , , , ,526.89,"K10.8,M27.8",C0008029,D002636,C84630, 
monosomie 2q37, , , , , , ,758.39,Q93.5,"C1838126,C2931817",C538317,C129021, 
Syndrome de Dubowitz,Ptosis, , , , , ,742.8,Q87.1,C0175691,C535718,C125591, 
maladie de Maroteaux-Lamy, , , , , , , ,E76.2,C0026709,D009087,C61264, 
syndrome d'Antley-Bixler,craniosynostose, , , ,Déficit en cytochrome P 450 oxydoréductase, , ,Q87.0,"C0265307,C1860042,C2350233,C2936791",D054882, , 
laryngomalacie, , , , , , ,748.3,Q31.5,"C0264303,C0345160",D055092,C98971, 
camptodactylie, , , , , , ,755.59,Q68.1,"C1306668,C2751430,C2931353","C536852,C567780", , 
maladie de Fabry,"angiokératome,anhidrose,cardiomyopathie restrictive,cornée verticillée,douleur,douleur neuropathique chronique,fatigue,hypertension artérielle,insuffisance rénale,nausée,neuropathie périphérique,vertige","agalsidase bêta,chlorhydrate de migalastat", , , , , ,"E75.2,E75.21","C0002986,C1970820",D000795,"C27528,C84701", 
Coarctation de l'aorte,"cardiomégalie,claudication intermittente,céphalée,douleur thoracique,dyspnée,fatigue,perte d'appétit,retard de croissance staturo-pondérale,épistaxis,étourdissement",prostaglandine E1,"interruption de la crosse aortique,rétrécissement aortique", , ,"Q4393281,angio-IRM",747.10,Q25.1,"C0003492,C2930803",D001017,C84567, 
kyste arachnoïdien, , , , , ,Q108525708, ,G93.0,"C0078981,C0751615",D016080,C3455, 
Syndrome de Poland, , , , , , ,756.89,Q79.8,"C0032357,C1868156",D011045,C85017, 
Atrésie biliaire, , , , , , ,751.61,Q44.2,C0005411,D001656,"C34421,C97069", 
Atrésie des choanes, , , , , , ,748.0,Q30.0,"C0008297,C0220723",D002754, , 
séquestration pulmonaire, , , , , , , ,Q33.2,C0006288,D001998, , 
pseudo achondroplasie, , , , , , ,756.9,Q77.8,C0410538,C535819,C118635, 
