diseaseLabel,disease,symptomsLabel,symptoms,symptomLabel_NCI,treatmentLabel,treatment,differentFromLabel,differentFrom,riskLabel,risk,causeLabel,cause,diagnosisLabel,diagnosis,icd9,icd10,umls,mesh,nci,link,description,alsoKnownAs
chromosome 1p36 deletion syndrome,Q3297103, , ,, , , , , , , , , , ,758.39,Q93.5,C1842870,C535362,C74983,https://en.wikipedia.org/wiki/1p36_deletion_syndrome,Human disease,"1p36 deletion syndrome,CHROMOSOME 1p36 DELETION SYNDROME,Del(1)(p36),Deletion 1pter,Monosomy 1P36 Syndrome,Monosomy 1pter,deletion 1p36,monosomy 1p36,subtelomeric 1p36 deletion"
myelomeningocele,Q3331925, , ,, , , , , , , , , , , ,"Q05,Q05.0,Q05.1,Q05.2,Q05.3,Q05.4,Q05.5,Q05.6,Q05.7,Q05.8,Q05.9","C0025312,C0086664,C0751316",D008591,"C101201,C98874", ,"spina bifida characterized by protrusion of the spinal cord through an opening, covered by meningeal membranes","Meningomyelocele,Myelomeningocele"
chorea-acanthocytosis,Q3338656, , ,, , , , , , , , , , ,333.0,E78.6,C0393576, ,C84926,https://en.wikipedia.org/wiki/Chorea-acanthocytosis,Human disease,"Acanthocytosis With Neurologic Disorder,CHAC,CHOREOACANTHOCYTOSIS, CHAC,Chorea-acanthocytosis,Choreoacanthocytosis,Levine-Critchley syndrome,Neuroacanthocytosis,choreaacanthocytosis,choreo-acanthocytosis,choreoacanthocytosis"
dextro-transposition of the great arteries,Q3501283, , ,, , , , , , , , , , , ,Q20.3,C1275836, ,C99096,https://en.wikipedia.org/wiki/Dextro-Transposition_of_the_great_arteries,congenital heart disease characterized by complete inversion of the great vessels where the aorta incorrectly arises from the right ventricle and the pulmonary artery incorrectly arises from the left ventricle,"C-TGA,Complete transposition of great vessel,D-TGA,Single ventricle heart defect,cTGA,complete TGA,complete transposition of great arteries,complete transposition of the great arteries,congenitally uncorrected transposition of the great arteries,congenitally uncorrected transposition of the great vessels,d-TGA,d-Transposition of the great arteries,dextro-TGA,dextro-looped transposition of the great arteries,dextro-transposition of great arteries,isolated ventriculoarterial discordance,ventriculoarterial discordance with atrioventricular concordance"
Bickerstaff's encephalitis,Q3508622, , ,, , , , , , , , , , ,323.81,G61.0,C1960543, , ,https://en.wikipedia.org/wiki/Bickerstaff_brainstem_encephalitis,rare inflammatory brain disease,Bickerstaff brainstem encephalitis
hypoganglionosis,Q3801602, , ,, , , , , , , , , , , , ,CL495526, , , , ,"Congenital isolated hypoganglionosis,Intestinal ganglion cells insignificant disease"
chronic congestive splenomegaly,Q3843800,splenomegaly,Q1129121,, , , , , , , , , , ,289.51,D73.2,C0154307,C537903, ,https://en.wikipedia.org/wiki/Banti%27s_syndrome,chronic congestive enlargement of the spleen[2] resulting in premature destruction of the red blood cells by the spleen.,"Banti syndrome,Banti's disease,Banti's syndrome,Idiopathic congestive splenomegaly,Idiopathic portal hypertension,chronic congestive splenomegaly (disorder)"
AL amyloidosis,Q4652470, , ,, , , , , , , , , , , ,E85.9,C0268381,C531616, ,https://en.wikipedia.org/wiki/AL_amyloidosis,medical condition,"Light-chain amyloidosis,Primary amyloidosis,Systemic amyloidosis"
Berdon syndrome,Q4891136, , ,, , , , , , , , , , , , ,C1608393,C536138,C98982,https://en.wikipedia.org/wiki/Berdon_syndrome,syndrome that is characterized by marked dilatation of the bladder and microcolon and decreased intestinal peristalsis,"Berdon syndrome,Huge bladder short and small colon intestinal peristalsis deficiency,MMIH,MMIHS,Megacystis - microcolon - intestinal hypoperistalsis - hydronephrosis,Megacystis microcolon intestinal hypoperistalsis syndrome,megacystis-microcolon-intestinal hypoperistalsis syndrome,visceral myopathy"
cloacal exstrophy,Q5134736, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Cloacal_exstrophy,"bladder exstrophy-epispadias-cloacal exstrophy complex that is characterized by a defect in the urethra, bladder and bowel",Vesicointestinal fissure
distal muscular dystrophy,Q5282843, , ,, , , , , , , , , , , ,G71.0,"C0751336,C1864706",D049310,C84675,https://en.wikipedia.org/wiki/Distal_myopathy,"group of genetic disorders characterized by progressive muscular atrophy and muscle weakness beginning in the hands, the legs, or the feet","Distal muscular dystrophy,Distal myopathy,Distal myopathy type 3,MPD3,MYOPATHY, DISTAL, 3,MYOPATHY, DISTAL, 3, MPD3,Miyoshi muscular dystrophy,distal myopathies,distal myopathy"
early myoclonic encephalopathy,Q5326887, , ,,"clobazam,clonazepam","Q407988,Q412164", , , , , , , , , , ,C0270855, ,C116593,https://en.wikipedia.org/wiki/Early_myoclonic_encephalopathy,Human disease,"Epileptic seizures - myoclonic,Epileptic seizures - myoclonic (disorder),Epileptic seizures, myoclonic,Myoclonic seizure,Myoclonic seizure disorder,myoclonia epileptica,myoclonic epilepsy"
systemic scleroderma,Q5340515,vascular alteration,Q102186567,,"ambrisentan,aminobenzoate potassium,bosentan hydrate,chloroquine,tolazoline","Q27114267,Q27258445,Q410789,Q413772,Q422438", , , , , , , , ,710.1,"M34.0,M34.1,M34.2,M34.8,M34.9",C0036421,D012595,C72070,https://en.wikipedia.org/wiki/Systemic_scleroderma,"scleroderma that is characterized by fibrosis (or hardening) of the skin and major organs, as well as vascular alterations, and autoantibodies","Diffuse Scleroderma,Diffuse Sclerosis,PSS,PSS (progressive systemic sclerosis),Progressive systemic sclerosis,SSc,SSc, Diffuse Sclerosis,Scleroderma,Scleroderma (& [systemic sclerosis]),Scleroderma syndrome,Scleroderma, Diffuse,Scleroderma, Systemic,Systemic Scleroderma,Systemic Sclerosis,Systemic scleroderma,Systemic sclerosis or systemic scleroderma,progressive systemic sclerosis,scleroderma, systemic,systemic sclerosis"
Emanuel syndrome,Q5369177,"cleft lip and cleft palate,congenital heart disease,hypotonia,intellectual disability","Q1753547,Q183560,Q222634,Q939364",, , , , , , , , , , ,758.5,Q92.6,C1836929,C535733, ,https://en.wikipedia.org/wiki/Emanuel_syndrome,medical condition,"Der(22)t(11,22) syndrome,Derivative 22 syndrome,EMANUEL SYNDROME,Supernumerary Der(22)T(11,Supernumerary der(22) syndrome,Supernumerary der(22),t(11,22) syndrome"
Idiopathic pure sudomotor failure,Q5988903, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Idiopathic_pure_sudomotor_failure,medical condition,"Acquired idiopathic generalized anhidrosis,Idiopathic acquired systemic anhidrosis"
Multifocal motor neuropathy,Q6934690, , ,, , , , , , , , , , ,357.89,"G61.8,G61.82",C0393847, , ,https://en.wikipedia.org/wiki/Multifocal_motor_neuropathy,"Multifocal motor neuropathy (MMN) is a rare acquired immune-mediatedneuropathy characterized clinically by a purely motor deficit with conduction block and asymmetric multifocal weakness, fasciculations, and cramping","MMN,MMNCB,Multifocal motor neuropathy with conduction block"
multiple carboxylase deficiency,Q6934914, , ,, , , , , , , , , , , ,"D81.81,D81.819,E53.8",C0026755,D009100, ,https://en.wikipedia.org/wiki/Multiple_carboxylase_deficiency,human disease,MCD
Persistent cloaca,Q7170405, , ,, , , , , , , , , , , , ,C0266225, ,C99014,https://en.wikipedia.org/wiki/Persistent_cloaca,medical condition, 
Worster-Drought syndrome,Q8037137, , ,, , , , , , , , , , , ,G80.8,C0796204,C536747, ,https://en.wikipedia.org/wiki/Worster-Drought_syndrome,"Worster-Drought syndrome (WDS) is a form of cerebral palsy characterized by congenital pseudobulbar (suprabulbar) paresis manifesting as selective weakness of the lips, tongue and soft palate, dysphagia, dysphonia, drooling and jaw jerking","Congenital suprabulbar paresis,Congenital supranuclear bulbar palsy,SUPRABULBAR PARESIS, CONGENITAL,Suprabulbar paresis congenital,Worcester drought syndrome,Worster Drought syndrome,Worster-Drought Syndrome"
Atopic myelitis,Q11283959, , ,, , , , , , , , , , , , , , , , , ,Idiopathic eosinophilic myelitis
ossification of the posterior longitudinal ligament,Q11488367, , ,, , , , , , , , , , , , ,C1865343,D017887,C84975,https://en.wikipedia.org/wiki/Ossification_of_the_posterior_longitudinal_ligament,"connective tissue disease characterized by ectopic ossification of the posterior longitudinal spinal ligament resulting in spinal cord compression, myelopathy and hyperreflexia","OPLL,OSSIFICATION OF THE POSTERIOR LONGITUDINAL LIGAMENT OF SPINE, OPLL,Ossification of posterior longitudinal ligament,ossification of the posterior longitudinal ligament of spine"
idiopathic osteonecrosis of the femoral head,Q11571042, , ,, , , , , , , , , , , , , , , , , ,"Idiopathic femoral head necrosis,Idiopathic osteonecrosis of the femoral head"
Ossification of the ligamentum flavum,Q11677816, , ,, , , , , , , , , , , , , , , , , ,Ossification of ligamentum flavum
autosomal dominant polycystic kidney disease,Q15443105, , ,, , , , , , , , , , ,753.12,Q61.3,"C0022680,C1567435", ,C75464,https://en.wikipedia.org/wiki/Polycystic_kidney_disease,congenital disorder of urinary system,"Congenital biliary ectasias,PCK - Polycystic kidney disease,POLYCYSTIC KIDNEY AND HEPATIC DISEASE 1,Polycystic kidney,Polycystic kidney disease NOS,Polycystic kidney disease NOS (disorder),Polycystic kidney, unspecified type"
homozygous familial hypercholesterolemia,Q15815863, , ,, , , , , , , , , , , ,E78.0,C0342881,D000090542, , ,human disease,HoFH
arterial pulmonary hypertension,Q16070735, , ,, , , , , , , , , , , , ,C2973725,D000081029, , ,health problem,"Pulmonary Arterial Hypertension,Pulmonary arterial hypertension,pulmonary arterial hypertension"
febrile infection-related epilepsy syndrome,Q17143712, , ,, , , , , , , , , , , ,G40.5, , , ,https://en.wikipedia.org/wiki/Febrile_infection-related_epilepsy_syndrome,"an explosive-onset, potentially fatal acute epileptic encephalopathy that develops in previously healthy children and adolescents following the onset of a non-specific febrile illness","AERRPS,Acute encephalitis with refractory repetitive partial seizures,Acute encephalitis with refractory, repetitive partial seizure,Acute non-herpetic encephalitis with severe refractory status epilepticus,DESC syndrome,Devastating epileptic encephalopathy in school-aged children,FIRES,Fever-induced refractory epileptic encephalopathy in school-aged children,Idiopathic catastrophic epileptic encephalopathy,Refractory frequent partial seizures intussusception acute encephalitis,Severe refractory status epilepticus owing to presumed encephalitis,Status epilepticus owing to presumed encephalitis"
systemic-onset juvenile idiopathic arthritis,Q17148432, , ,,"Etanercept,anakinra,methotrexate,prednisolone,tocilizumab","Q11426176,Q415343,Q415411,Q422232,Q425154", , , , , , , , , ,M08.2,"C0087031,C1384600", ,C119031,https://en.wikipedia.org/wiki/Systemic-onset_juvenile_idiopathic_arthritis,"Systemic-onset juvenile idiopathic arthritis is marked by the severity of the extra-articular manifestations (fever, cutaneous eruptions) and by an equal sex ratio","SoJIA,Still disease,Still's disease (formerly),Systemic juvenile idiopathic arthritis,Systemic onset juvenile idiopathic arthritis,Systemic onset juvenile rheumatoid arthritis,Systemic polyarthritis,Systemic-onset JIA,Systemic-onset juvenile idiopathic arthritis,systemic juvenile idiopathic arthritis,systemic onset juvenile rheumatoid arthritis"
Atypical hemolytic uremic syndrome,Q17165460, , ,, , , , , , , , , , , , , ,D065766,C123223,https://en.wikipedia.org/wiki/Atypical_hemolytic_uremic_syndrome,"complement deficiency that is characterized by mechanical hemolytic anemia, thrombocytopenia, and renal dysfunction",atypical hemolytic-uremic syndrome
JMP syndrome,Q18553304, , ,, , , , , , , , , , , , , , , , ,"autosomal recessive disease that is characterized by childhood onset of joint stiffness and severe contractures of the hands and feet, erythematous skin lesions with subsequent development of severe lipodystrophy","JOINT CONTRACTURES, MUSCULAR ATROPHY, MICROCYTIC ANEMIA, AND PANNICULITIS-INDUCED LIPODYSTROPHY,Joint contractures - muscle atrophy - microcytic anemia - panniculitis-induced lipodystrophy,Joint contractures-muscular atrophy-microcytic anemia-panniculitis-associated lipodystrophy syndrome"
glycogen storage disease VIII,Q18555183, , ,, , , , , , , , , , , , ,C0017927,D006015, , ,Human disease,"Glycogen storage disease type VIII (disorder),glycogen storage disease type VIII,glycogenosis type VIII,hepatic glycogen phosphorylase kinase deficiency,hepatic glycogen phosphorylase kinase deficiency (disorder)"
venous hemangioma,Q18556421, , ,"Benign Cellular Infiltrate,Indolent Clinical Course,Vascular Channel Formation,Venous Type Vascular Channel Formation", , , , , , , , , , ,228.09, ,C0334532, ,C4296, ,Human disease,"Venous Angioma,Venous Malformation,Venous hemangioma (disorder),Venous hemangioma (morphologic abnormality)"
TSH producing pituitary tumor,Q18557201, , ,"Epithelial Component Present,Neuroendocrine Differentiation", , , , , , , , , , , , ,"C0346303,C2362538", ,"C7915,C8011", ,Human disease,"TSH Producing Neoplasm of Pituitary,TSH Producing Neoplasm of Pituitary Gland,TSH Producing Neoplasm of the Pituitary,TSH Producing Neoplasm of the Pituitary Gland,TSH Producing Pituitary Gland Neoplasm,TSH Producing Pituitary Gland Tumor,TSH Producing Pituitary Neoplasm,TSH Producing Pituitary Tumor,TSH Producing Tumor of Pituitary,TSH Producing Tumor of Pituitary Gland,TSH Producing Tumor of the Pituitary,TSH Producing Tumor of the Pituitary Gland,TSH Secreting Neoplasm of Pituitary,TSH Secreting Neoplasm of Pituitary Gland,TSH Secreting Neoplasm of the Pituitary,TSH Secreting Neoplasm of the Pituitary Gland,TSH Secreting Pituitary Gland Neoplasm,TSH Secreting Pituitary Gland Tumor,TSH Secreting Pituitary Neoplasm,TSH Secreting Pituitary Tumor,TSH Secreting Tumor of Pituitary Gland,TSH Secreting Tumor of the Pituitary,TSH Secreting Tumor of the Pituitary Gland,TSH Secreting adenoma of the Pituitary,TSH Secreting tumor of Pituitary,TSH-Producing Pituitary Gland Neoplasm,TSH-secreting pituitary adenoma,Thyroid Stimulating Hormone Producing Neoplasm of Pituitary,Thyroid Stimulating Hormone Producing Neoplasm of Pituitary Gland,Thyroid Stimulating Hormone Producing Neoplasm of the Pituitary,Thyroid Stimulating Hormone Producing Neoplasm of the Pituitary Gland,Thyroid Stimulating Hormone Producing Pituitary Gland Neoplasm,Thyroid Stimulating Hormone Producing Pituitary Gland Tumor,Thyroid Stimulating Hormone Producing Pituitary Neoplasm,Thyroid Stimulating Hormone Producing Pituitary Tumor,Thyroid Stimulating Hormone Producing Tumor of Pituitary,Thyroid Stimulating Hormone Producing Tumor of Pituitary Gland,Thyroid Stimulating Hormone Producing Tumor of the Pituitary,Thyroid Stimulating Hormone Producing Tumor of the Pituitary Gland,Thyroid Stimulating Hormone Producing Tumour,Thyroid Stimulating Hormone Secreting Neoplasm of Pituitary,Thyroid Stimulating Hormone Secreting Neoplasm of Pituitary Gland,Thyroid Stimulating Hormone Secreting Neoplasm of the Pituitary,Thyroid Stimulating Hormone Secreting Neoplasm of the Pituitary Gland,Thyroid Stimulating Hormone Secreting Pituitary Gland Neoplasm,Thyroid Stimulating Hormone Secreting Pituitary Gland Tumor,Thyroid Stimulating Hormone Secreting Pituitary Neoplasm,Thyroid Stimulating Hormone Secreting Pituitary Tumor,Thyroid Stimulating Hormone Secreting Tumor of Pituitary,Thyroid Stimulating Hormone Secreting Tumor of Pituitary Gland,Thyroid Stimulating Hormone Secreting Tumor of the Pituitary,Thyroid Stimulating Hormone Secreting Tumor of the Pituitary Gland,Thyrotroph adenoma,Thyrotroph adenoma (disorder),Thyrotropin Producing Pituitary Gland Neoplasm,thyrotropin-secreting pituitary adenoma,tsh-oma"
Cerebral autosomal recessive arteriopathy with subcortical infarcts and leukoencephalopathy,Q25324161,dementia,Q83030,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Cerebral_autosomal_recessive_arteriopathy_with_subcortical_infarcts_and_leukoencephalopathy,medical condition,"Autosomal recessive leukoencephalopathy,Autosomal recessive leukoencephalopathy with baldness and degenerative spondylosis,CARASIL,Cerebral autosomal recessive arteriopathy,Cerebral autosomal recessive arteriopathy with baldness and degenerative spondylosis"
CANDLE syndrome,Q26689941, , ,, , , , , , , , , , , , ,C1850568, , ,https://en.wikipedia.org/wiki/CANDLE_syndrome,autosomal recessive disorder,"Chronic Atypical Neutrophilic Dermatosis with Lipodystrophy and Elevated Temperature,Chronic Atypical Neutrophilic Dermatosis with Lipodystrophy and Elevated Temperature syndrome,Chronic atypical neutrophilic dermatosis with lipodystrophy and elevated temperature,Chronic atypical neutrophilic dermatosis-lipodystrophy-elevated temperature syndrome"
eosinophilic gastroenteritis,Q27555722, , ,, , , , , , , , , , ,558.41, ,C1262481,C535952,C35330,https://en.wikipedia.org/wiki/Eosinophilic_gastroenteritis,human disease,"Eosinophilic Gastroenteritis,Eosinophilic gastroenteritis,Eosinophilic gastroenteritis (disorder),eosinophilic gastroenteritis"
Congenital tracheal stenosis,Q28873218, , ,, , , , , , , , , , , , ,C0265767, , , , , 
aromatic L-amino acid decarboxylase deficiency,Q30989658,ptosis,Q622427,, , , , , , , , , , ,270.8,G24.8,"C0342686,C1291564",C537437,C142085,https://en.wikipedia.org/wiki/Aromatic_L-amino_acid_decarboxylase_deficiency,human disease,"AADC deficiency,AROMATIC L-AMINO ACID DECARBOXYLASE DEFICIENCY,Aromatic L-Amino-Acid Decarboxylase Deficiency,Aromatic L-amino acid decarboxylase deficiency,Aromatic amino acid decarboxylase deficiency,Ddc Deficiency,Dopa Decarboxylase Deficiency"
hemimegalencephaly,Q40103033, , ,, , , , , , , , , , ,742.4,Q04.5,C0431391,D065705,C177779,https://en.wikipedia.org/wiki/Hemimegalencephaly,a rare disorder affecting development of one side of the brain,"macrencephaly,unilateral megalencephaly"
multicentric Castleman disease,Q50349818, , ,"Fever,Hypergammaglobulinemia,Lymphadenopathy,Lymphoplasmacytic Infiltrate,Systemic Disease,Germinal Centers with Prominent Hyalinized Vessels Present,Hepatomegaly,Interleukin-6 Overexpression,Pleural Effusion,Progressive Clinical Course,Sheets of Interfollicular Plasma Cells Present,Thrombocytopenia", , , , , , , , , , , ,D36.0,C1334815,C537372,C27855,https://en.wikipedia.org/wiki/Idiopathic_multicentric_Castleman_disease,"Castleman disease characterized by systemic inflammatory symptoms, polyclonal lymphoproliferation, cytopenias, and multiple organ system dysfunction caused by a cytokine storm often including interleukin-6","Idiopathic multicentric Castleman disease,MCD,Multicentric Angiofollicular Lymphoid Hyperplasia,Multicentric Castleman's Disease,PMCD,multicentric giant lymph node hyperplasia,plasmablastic multicentric Castleman disease"
disorder of carnitine cycle and carnitine transport,Q55787303, , ,, , , , , , , , , , , ,E71.3, , , , ,human disease,Carnitine cycle disorder
acute encephalopathy with biphasic seizures and late reduced diffusion,Q55787788, , ,, , , , , , , , , , , ,G40.4, , , , ,human disease,"AESD,AIEF,Acute encephalopathy with biphasic seizures and late reduced diffusion,Acute infantile encephalopathy predominantly affecting the frontal lobes,Epilepticus type acute encphalopathy,Epilepticus type biphasic acute encphalopathy"
rare genetic dystonia,Q55787960, , ,, , , , , , , , , , , , ,C0752207, , , ,form of dystonia (disease) that is both rare and inborn,"Hereditary dystonia,Rare genetic dystonic disorder"
cerebellar ataxia type 9,Q55345826, , ,, , , , , , , , , , , , ,C1421994, , , ,human disease,"SCA9,SPINOCEREBELLAR ATAXIA 9,spinocerebellar ataxia type 9"
spinocerebellar ataxia type 32,Q55345840, , ,, , , , , , , , , , , ,G11.8,C3151343, , , ,"Spinocerebellar ataxia type 32 (SCA32) is a subtype of autosomal dominant cerebellar ataxia type 1 (ADCA type 1, see this term) characterized by ataxia, cognitive impairment and azoospermia in males","Cerebellar ataxia with azoospermia and intellectual disability,SCA32,SPINOCEREBELLAR ATAXIA 32,SPINOCEREBELLAR ATAXIA 32, SCA32"
Joubert syndrome and related disorders,Q55345933, , ,, , , , , , , , , , , , , , , , , ,"JSRD,Joubert syndrome,Joubert syndrome related disorder"
autosomal dominant cerebellar ataxia type II,Q55345944, , ,, , , , , , , , , , , , , , , , ,human disease,"ADCA2,ADCAII,Autosomal dominant cerebellar ataxia type II"
"multiple system atrophy, cerebellar type",Q55345962, , ,, , , , , , , , , , , ,G90.3, , , , ,"Multiple system atrophy, cerebellar type (MSA-c) is a form of multiple system atrophy (MSA, see this term) with predominant cerebellar features (gait and limb ataxia, oculomotor dysfunction, and dysarthria)","MSA, cerebellar type,MSA-c,Sporadic OPCA type 1,Sporadic olivopontocerebellar atrophy type 1"
autosomal recessive ataxia due to PEX10 deficiency,Q55345966, , ,, , , , , , , , , , , ,G11.8, , , , ,human disease,Mild peroxismal disorder due to PEX10 deficiency
autosomal dominant optic atrophy and peripheral neuropathy,Q55345969, , ,, , , , , , , , , , , ,H47.2, , , , , , 
congenital communicating hydrocephalus,Q55345978, , ,, , , , , , , , , , , ,Q03.8, , , , ,human disease,Congenital non-obstructive hydrocephalus
congenital non-communicating hydrocephalus,Q55345979, , ,, , , , , , , , , , , ,"Q03.1,Q03.2,Q03.8", , , , ,human disease,Congenital obstructive hydrocephalus
Machado-Joseph disease type 1,Q55345982, , ,, , , , , , , , , , , ,G11.8,C0751668, , , ,"Machado-Joseph disease type 1 is a rare, usually severe subtype of Machado-Joseph disease (SCA3/MJD, see this term) characterized by the presence of marked pyramidal and extrapyramidal signs","SCA3, Joseph type,Spinocerebellar ataxia type 3, Joseph type"
Machado-Joseph disease type 2,Q55345983, , ,, , , , , , , , , , , ,G11.8,C0751669, , , , ,"SCA3, Thomas type,Spinocerebellar ataxia, Thomas type"
Machado-Joseph disease type 3,Q55345984, , ,, , , , , , , , , , , ,G11.8,C0751670, , , ,"Machado-Joseph disease type 3 is a subtype of Machado-Joseph disease (SCA3/MJD, see this term) of milder severity characterized by late onset, slower progression, and peripheral amyotrophy","SCA3, Machado type,Spinocerebellar ataxia type 3, Machado type"
osteogenesis imperfecta-retinopathy-seizures-intellectual disability syndrome,Q55345985, , ,, , , , , , , , , , , ,Q87.8,C2930952,C535617, ,https://en.wikipedia.org/wiki/Al_Gazali_Sabrinathan_Nair_syndrome,medical condition,"Al Gazali Sabrinathan Nair syndrome,Al Gazali-Nair syndrome,Osteogenesis imperfecta retinopathy seizures intellectual deficit"
autosomal dominant spastic ataxia,Q55346009, , ,, , , , , , , , , , , ,G11.4, , , , ,Autosomal dominant form of spastic ataxia,"AD-SPAX,spastic ataxia, autosomal dominant"
autosomal recessive spastic ataxia,Q55346010, , ,, , , , , , , , , , , ,G11.8, , , , ,Autosomal recessive form of spastic ataxia,"AR-SPAX,spastic ataxia, autosomal recessive"
spastic paraplegia-Paget disease of bone syndrome,Q55346023, , ,, , , , , , , , , , , ,G11.4, , , , , , 
autosomal recessive cerebellar ataxia with late-onset spasticity,Q55346025, , ,, , , , , , , , , , , ,G11.8, , , , , ,Autosomal recessive cerebellar ataxia due to GBA2 deficiency
autosomal recessive cerebellar ataxia-epilepsy-intellectual disability syndrome,Q55346047, , ,, , , , , , , , , , , ,G11.1, , , , ,human disease, 
non-progressive predominantly posterior cavitating leukoencephalopathy with peripheral neuropathy,Q55346050, , ,, , , , , , , , , , , ,G93.4, , , , ,human disease, 
CAMOS syndrome,Q55346076, , ,, , , , , , , , , , , ,G11.1,C1847114, , , , ,"Cerebellar ataxia-intellectual disability-optic atrophy-skin abnormalities syndrome,SCAR5"
X-linked intellectual disability-ataxia-apraxia syndrome,Q55346082, , ,, , , , , , , , , , , ,G31.8, , , , , , 
recessive mitochondrial ataxia syndrome,Q55346085, , ,, , , , , , , , , , , ,G11.8, , , , ,human disease,MIRAS
autosomal dominant cerebellar ataxia type I,Q55346087, , ,, , , , , , , , , , , ,G11.8, , , , , ,"ADCA1,ADCAI,Autosomal dominant cerebellar ataxia type 1,Cerebellar plus syndrome"
autosomal dominant cerebellar ataxia type III,Q55346088, , ,, , , , , , , , , , , ,G11.8, , , , , ,"ADCA3,ADCAIII,Autosomal dominant cerebellar ataxia type III,Pure cerebellar syndrome-mild pyramidal signs syndrome"
autosomal dominant cerebellar ataxia type IV,Q55346089, , ,, , , , , , , , , , , ,G11.8, , , , ,human disease,"ADCA4,ADCAIV,Autosomal dominant cerebellar ataxia type IV"
autosomal recessive congenital cerebellar ataxia,Q55346091, , ,, , , , , , , , , , , , , , , , ,human disease, 
autosomal recessive metabolic cerebellar ataxia,Q55346092, , ,, , , , , , , , , , , , , , , , ,human disease, 
autosomal recessive cerebellar ataxia due to a DNA repair defect,Q55346093, , ,, , , , , , , , , , , ,G11.3, , , , ,human disease, 
autosomal recessive degenerative and progressive cerebellar ataxia,Q55346094, , ,, , , , , , , , , , , , , , , , ,human disease, 
autosomal recessive syndromic cerebellar ataxia,Q55346095, , ,, , , , , , , , , , , , , , , , ,human disease, 
Al Gazali Khidr Prem Chandran syndrome,Q55346119, , ,, , , , , , , , , , , , ,C2930951,C535616, , , ,"Cherubism, optic atrophy and short stature"
X-linked mental retardation with cerebellar hypoplasia and distinctive facial appearance,Q55373611, , ,, , , , , , , , , , , ,Q04.3,C1845366,C537456, , ,"X-linked intellectual deficit-cerebellar hypoplasia, also known as OPHN1 syndrome, is a rare syndromic form of cerebellar dysgenesis characterized by moderate to severe intellectual deficit and cerebellar abnormalities","MENTAL RETARDATION, X-LINKED, WITH CEREBELLAR HYPOPLASIA AND DISTINCTIVE FACIAL APPEARANCE,MRX60 (formerly),Mental Retardation, X-Linked 60,Mental Retardation, X-Linked 60, Formerly,Mental retardation x-linked 60 (formerly),Mental retardation x-linked with cerebellar hypoplasia and distinctive facial appearance,OPHN1 syndrome,Oligophrenin-1 syndrome"
acromegaloid facial appearance syndrome,Q55780289, , ,, , , , , , , , , , , ,Q87.0,C0796280,C535655, , , ,"ACROMEGALOID FACIAL APPEARANCE SYNDROME,Afa Syndrome,Thick Lips and Oral Mucosa"
acropectorovertebral dysplasia,Q55780292, , ,, , , , , , , , , , , ,Q74.8,C1863307,C566319, , , ,"ACROPECTOROVERTEBRAL DYSPLASIA,ACROPECTOROVERTEBRAL DYSPLASIA, ACRPV,ACRPV,Acropectorovertebral dysplasia F form,F syndrome"
ameloonychohypohidrotic syndrome,Q55780312, , ,, , , , , , , , , , , ,Q82.4,C1863006,C538245, , ,human disease,"AMELOONYCHOHYPOHIDROTIC SYNDROME,Hypocalcified-hypoplastic enamel, onycholysis with subungual hyperkeratosis, and hypohidrosis,amelo-onycho-hypohidrotic syndrome"
interventricular septum aneurysm,Q55780319, , ,, , , , , , , , , , , ,Q21.0,C1387721,C563239, , , ,ANEURYSM OF INTERVENTRICULAR SEPTUM
hereditary neurocutaneous malformation,Q55780322, , ,, , , , , , , , , , , ,D18.0,"C1275084,C1862897,C1862898",C536364, , , ,"ANGIOMA, HEREDITARY NEUROCUTANEOUS,Hemangiomatosis, Disseminated,Spinal Arterial Venous Malformations With Cutaneous Hemangiomas"
anonychia with flexural pigmentation,Q55780330, , ,, , , , , , , , , , , , ,C1862844,C566278, , ,human disease,ANONYCHIA WITH FLEXURAL PIGMENTATION
genetic anorectal anomalies,Q55780334, , ,, , , , , , , , , , , , ,"C0266215,C3495676",C567938, , ,human disease,ANORECTAL ANOMALIES
ataxia with fasciculations,Q55780351, , ,, , , , , , , , , , , , ,C1862440,C566246, , ,human disease,ATAXIA WITH FASCICULATIONS
Auriculoosteodysplasia,Q55780358, , ,, , , , , , , , , , , ,Q87.5,C1862381,C538271, , ,"Auriculoosteodysplasia is a very rare condition characterized by multiple osseous dysplasia, characteristic ear shape (elongation of the lobe that is attached and accompanied by a small, slightly posterior lobule) and somewhat short stature","AURICULOOSTEODYSPLASIA,Auriculo-osteodysplasia,Multiple osseous dysplasia, characteristic ear shape, and short stature"
"brachydactyly, type E, with atrial septal defect, Type 2",Q55780383, , ,, , , , , , , , , , , , ,C1862101,C566193, , ,human disease,"BRACHYDACTYLY, TYPE E, WITH ATRIAL SEPTAL DEFECT, TYPE II"
Sillence syndrome,Q55780385, , ,, , , , , , , , , , , ,Q74.8,"C0342282,C1862092",C537338, , , ,"BRACHYDACTYLY-DISTAL SYMPHALANGISM SYNDROME,Brachydactyly-symphalangism syndrome"
