diseaseLabel,symptomsLabel,treatmentLabel,differentFromLabel,riskLabel,causeLabel,diagnosisLabel,icd9,icd10,umls,mesh
Diastematomyelia, , , , , , ,742.51,Q06.2,C0011999, 
dysferlinopathy, , , , , , , , ,C2931687,C537995
"Hip dysplasia, Beukes type", , , , , , , ,Q65.8,C1840572,C564185
Autosomal recessive multiple epiphyseal dysplasia, , , , , , , , , ,C535504
bullous emphysema, , , , , , , , , , 
enteropeptidase deficiency, , , , , , ,277.89,K90.8,C0268416,C562649
cytochrome P450 Oxidoreductase Deficiency, , , , , , , , , , 
Intensive care unit delirium, , , , , , , , ,C1168150, 
anaclitic depression, , , , , , , , , , 
European Brown Hare Syndrome, , , , , , , , , , 
ectopic testis, , , , , , , , , , 
animal monocytic Ehrlichiosis, , , , , , , , , , 
persistent truncus arteriosus, , , , , , , ,Q20.0,C0041207,D014339
liver fibrosis, , , , , , , , ,C0239946, 
fluoride toxicity, , , , ,poisoning, , , , ,D005458
hypervitaminosis A,left upper quadrant abdominal rigidity, , , , , ,278.2,E67.0,C0020579,D006986
Spontaneous bacterial peritonitis, , , , , , , , ,C0275551, 
pretibial myxedema, , , , , , , , ,C0033103, 
femoral hernia, , , , , , , , ,C0019288,D006550
benign cephalic histiocytosis, , , , , , ,216.8,D76.3,C0347403, 
water retention, , , , , , ,"782.3,789.59", ,C0542203, 
condylar hyperplasia, , , , , , , , ,C0560920, 
Excessive daytime sleepiness,somnolence, , , , , ,"291.82,292.85,307.43,307.44,327.1,780.53,780.54", , , 
hypoketotic hypoglycemia, , , , , , , , , , 
Localized hemosiderosis, , , , , , , , ,C0268065, 
systemic hemosiderosis, , , , , , , , , , 
meconium ileus, , , , , , , ,E84.11,C0546982, 
osteoarticular infection, , , , , , , , ,C0851989, 
sexually transmitted intestinal disease, , , , , , , , , , 
isomérism, , , , , , , , ,CL793323, 
undifferentiated schizophrenia, , , , , , , , , , 
residual schizophrenia, , , , , , , , ,C0036351, 
leukoencephalopathy, , , , , , , , ,C0270612,D056784
childhood obesity, , ,"Childhood Obesity,Childhood obesity", , , , , , ,D063766
Tumid lupus erythematosus, , , , , , , ,L93.2,C0406636, 
familial hemophagocytic lymphohistiocytosis, , , , , , , , ,C0272199, 
hereditary leiomyomatosis and renal cell cancer syndrome, , , , , , , ,C64,C1708350,C535516
orotic aciduria, , , , , , , ,E79.8,"C0220987,C0268128,C0268130,C3278622",C537136
autosomal dominant intermediate Charcot-Marie-Tooth disease, , , , , , , ,G60.0, , 
echovirus 9 infection, , , , ,infection, , , , , 
Cruveilhier–Baumgarten disease, , ,Caput medusae, , , , , , , 
Roussy–Lévy syndrome, , , , , , ,334.3,G60.0,C0205713, 
Still's disease,"arthralgia,chronic secondary musculoskeletal pain,fever,inflammation,myalgia,rash,sore throat", , , , , , , , , 
X-linked lymphoproliferative disease, , , , , , , , , , 
hepatic veno-occlusive disease with immunodeficiency, , , , , , , , , , 
IRF6-related disorders, , , , , , , , , , 
small intestine congenital defect, , , , , , , , ,C0266169, 
colon congenital defect, , , , , , , , ,CL583703, 
pervasive developmental disorder not otherwise specified, , , , , , , , , , 
smut, , , , ,Ustilaginomycotina, , , , , 
microcytic anemia,microcytosis, , , , , , , ,C0085576,C562385
Jervell-Lange Nielsen syndrome, , , , , , , , ,C0022387,D029593
9q22.3 microdeletion, , , , , , , ,Q93.5,C3711390,C579873
disability affecting intellectual abilities, , , , , , , , , , 
X-linked myotubular myopathy, , , , , , , , , ,C538647
"distal myopathy, Nonaka type", , , , , , , , , , 
Menometrorrhagia, , , , , , , , , , 
dyssegmental dysplasia, , , , , , , , , , 
Hydrops-ectopic calcification-moth-eaten skeletal dysplasia, , , , , , , ,Q77.3,"C1300226,C2931048","C535858,C537299"
Hereditary sensory and autonomic neuropathy type I, , , , , , , , , , 
verrucous nevus, , , , , , , ,Q82.5,C0362030, 
chronic total occlusion  of coronary artery, , , , , , , , ,C1955779, 
epididymo-orchitis, , , , , , ,"604,604.90","N45,N45.3",C0149881, 
osteoradionecrosis, , , , , , , , , ,D010025
agnathia-otocephaly complex, , , , , , ,759.89,"Q18.2,Q87.8","C0265242,C1876185",C562503
Southeast Asian ovalocytosis,Elliptocyte, , , , , , , , ,C566230
infantile-onset ascending hereditary spastic paralysis, , , , , , ,343.8,G12.2,"C1846588,C2931441",C537217
parvovirus infectious disease, , , , ,infection, ,078.89, , ,D010322
scapular fracture, , , , , , , , , , 
PHACE association, ,propranolol, , , , , ,Q28.8,"C1847874,C2242617", 
pouchitis, , , , , , ,569.71,K91.850, ,D019449
polyradiculoneuropathy, , , , , , , , ,C0032587,D011129
postterm pregnancy,"Shoulder dystocia,large for gestational age,meconium aspiration syndrome,oligohydramnios,reduction", , , , , , , , ,D011273
prurigo, , , , , , , , , ,D011536
pulicosis, , , , ,infestation, , , ,"C0277355,C0277357",D058267
periarthritis humero-scapularis, , , , , , , , ,C0877557, 
respiratory-effort related arousals, , , , , , , , , , 
AIDS dementia complex, , , , , , , , , ,D015526
regressive autism, , , , , , , , , , 
X-linked retinoschisis, , , , , , , ,Q14.1,"C0271091,C3714753", 
juvenile amyotrophic lateral sclerosis, , , , , , , , , , 
spirochetal diseases, , , , ,"Spirochaetales,infection", , , ,C0037974,D013145
laryngeal papillomatosis, , , , , , ,078.19, ,C1168198,C535297
lipoatrophy, , , , , , , , , , 
congenital aortic stenosis, , , , , , , , ,C0152417, 
CHILD syndrome, , , , , , ,759.89,Q87.8,C0265267,C562515
MASS syndrome, , , , , , , , , ,C536030
muscle-eye-brain disease, , , , , , ,742.4,Q04.3,C0457133, 
rapadilino syndrome,diarrhea, , , , , ,759.89,Q87.1,C1849453,C535288
Joubert syndrome with orofaciodigital defect, , , , , , , ,Q04.3,C2745997,C536531
brittle cornea syndrome, , , , , , , ,Q79.6,C0268342,C536198
"Ehlers-Danlos syndrome, arthrochalasis type", , , , , , , ,Q79.6,"C0268345,C1851801",C562625
Erasmus syndrome, , , , , , , , , , 
Baller-Gerold syndrome, , , , , , , ,Q75.0,C0265308,C536788
Congenital contractural arachnodactyly, , , , , , , , , , 
fallot complex - intellectual disability - growth delay, , , , , , , ,Q87.8,C1832735,C536608
Slipping rib syndrome, , , , , , , , ,C0040213, 
Fryns syndrome, , , , , , ,759.89,Q87.8,C0220730,C538070
Thymoma with immunodeficiency, , , , , , , , ,C0221027, 
Lytico-bodig disease, , , , , , , ,G12.2,C0543859, 
Lasthenie de Ferjol syndrome,anemia, , , , , , , , , 
Melnick–Needles syndrome, , , , , , ,756.59,Q77.8,C0025237, 
Testicular dysgenesis syndrome, , , , , , , , ,C2919755, 
solitary median maxillary central incisor syndrome, , , , , , , , ,C1840235,C537342
Bare lymphocyte syndrome, , , , , , , , , , 
Lymphedema–distichiasis syndrome, , , , , , ,743.63,Q82.0,"C0265345,C2675066",C537710
neuro-anemia syndrome, , , , ,pernicious anemia, , , ,C1504551, 
Wiedemann-Rautenstrauch syndrome, , , , , , ,259.8,E34.8,C0406586,C536423
obstructive symptoms, , , , , , , , , , 
otopalatodigital syndrome type 1, , , , , , ,759.89,Q87.0,"C0265251,C2748918,C2748919", 
Tricho–rhino–phalangeal syndrome, , , , , , ,759.89,Q87.8,C0265255, 
paraneoplastic neurologic syndrome, , , , , , ,331.89, ,"C0393534,C0751911,C3267031",D020362
rotator cuff tear, ,diclofenac, , , , ,726.10,M75.1,C0151448,D000070636
Paris-Trousseau syndrome, , , , , , , ,D69.4,"C1861178,C1956093",C538617
balance disorder, , , , , , , , , , 
sleep-related dissociative disorder, , , , , , , , , , 
Tuberculosis of the adrenal glands, , , , ,infection, , , , , 
connective tissue neoplasm, ,sunitinib, , , , , , ,C0027656,D009372
melanocytic tumor, , , , , , , , ,C1302746, 
colonic neoplasm, , , , , , , , , ,D003110
fugu poisoning, , , , ,Takifugu, , , ,C0275142, 
varicose veins on the face, , , , , , , , , , 
vasoplegia, , , , , , , , ,C2717957,D056987
hereditary mucosal leukokeratosis, , , , , , , , ,C1721005,D053529
norovirus infection,"abdominal pain,dehydration,diarrhea,flatulence,low-grade fever,nausea,vomiting", , , ,Norwalk virus, , , ,C3534585, 
"Junctional epidermolysis bullosa, Herlitz type", , , , , , , , , , 
Malignant Migrating Partial Seizures in Infancy, , , , , , , , ,C3494976, 
erythroblastopenia, ,"cyclosporine,deferasirox", , , , , ,"D60.0,D60.1,D60.8,D60.9","C0034902,C0281963", 
mercurial erythema, , , , ,mercury poisoning, , , , , 
acne keloidalis nuchae, , , , , , , , ,C0001145,D000153
beta thalassemia, ,sodium phenylbutyrate, , , ,Mentzer index,"282.44,282.49",D56.1,"C0002875,C0005283",D017086
stable angina, , , ,"cigarette smoking,diabetes,hyperlipidemia,hypertension", , , , ,"C0340288,C0577698",D060050
central sleep apnea, , ,congenital central hypoventilation syndrome, , , , , ,C0520680,D020182
optic atrophy, , , , , , ,"377.1,377.10","H47.2,H47.20",C0029124,D009896
pulmonary blastoma, , , , , , ,162.9,"C34.1,C34.2,C34.3,C34.8,C34.9",C0206629,D018202
Sandifer syndrome, , , , , , , , ,C0338465,C537234
stomach carcinoma, , , , , , , , , , 
keratosis, ,"ammonium DL-lactate,diclofenac,fluorouracil,masoprocol", , , , , , ,C0022593,D007642
Q3675031, , , , , , , , , , 
vernal conjunctivitis, ,"Loteprednol etabonate,antazoline,astemizole,azelastine,levocabastine,lodoxamide,medrysone,nedocromil,olopatadine,pemirolast,triprolidine", , , , ,372.13,"H10.44,H16.2","C0009773,C0022577", 
Hyaline degeneration, , , , , , , , ,C0333438, 
amyopathic dermatomyositis, , , , , , , , ,C0406645,C538250
myoclonic dystonia, , , , , , , , , , 
endoleak, , , , , , , , ,C1504464,D057867
epiblepharon, , , , , , ,743.63,Q10.3,"C0344503,C1851582",C565051
accommodative esotropia, , , , , , ,378.35,H50.43,C0155336, 
cannabis dependence, , , , , , ,304.3,F12.2,C0006870, 
sycosis, , , , , , , , ,C0275798, 
Subdural hygroma, , , , , , , , ,C0751533, 
ileitis,diarrhea, , , , , ,558.9,K52.9,C0020877,D007079
X-linked ichthyosis, , , , , , , ,Q80.1,C0079588,D016114
oxycephaly, , , , , , , ,Q75.0,C0030044, 
Lymphangiectasia, , , , , , , , ,C0024214,D008200
splenic marginal zone lymphoma, , , , , , , ,C83.0,C0349632, 
DeSanctis–Cacchione syndrome, , , , , , ,759.89, ,C0265201,C535992
Hurler–Scheie syndrome, , , , , , , , , , 
Salla disease, , , , , , , , , ,D029461
staphylococcal meningitis, , , , , , , , , , 
Microspherophakia, , , , , , , , ,"C1562061,C3538951", 
malignant nephroangiosclerosis, , , , , , , , , , 
Pendular nystagmus, , , , , , , , , , 
malignant otitis externa, , , , , , ,380.14,"H60.2,H60.20",C0155395, 
multifollicular ovaries, , , , , , , , , , 
lymphocytic interstitial pneumonia, , , , , , , , ,C0264511,C562489
Erythropoietic porphyria, , , , , , , , , , 
progenism, , , , , , , ,K07.1,"C0266075,C0302501,C0399526,C2227134,C4280644,C4280645",D008313
DRESS syndrome, ,prednisolone,Dressler's syndrome, , , , , ,"C1142139,C3541994",D063926
Austrian syndrome, , , , , , , , , , 
Filippi syndrome, , , , , , , ,Q87.8,C0795940,C538152
Keppen–Lubinsky syndrome, , , , , , , ,E88.1,C3279800, 
Lev's disease, , , , , , , , ,C1879286,C566873
Sudeck's syndrome, , , , , , ,"337.2,337.20,337.21","G90.5,M89.0",C0034931,D012019
spondylarthrosis, , , , , , , , , , 
Pulmonic stenosis, , , , , , , , , , 
congenital torticollis, ,"botulinum toxin type A,tetrabenazine", , , , ,723.5, ,"C0040485,C0079352",C535425
spine trauma, , , , , , , , ,C0037937,D013124
clear-cell tumor, , ,clear-cell sarcoma, , , , , ,C1265994, 
gastric ulcer, ,"Calcium Gluceptate,Magaldrate,aluminium carbonate,atropine,calcium carbonate,carbonate ion,cimetidine,dihydroxyaluminum sodium carbonate,esomeprazole,famotidine,lansoprazole,magnesium hydroxide,nizatidine,omeprazole,pantoprazole,ranitidine,sucralfate,troxipide", , , , ,531,K25,C0038358,D013276
hypersensitivity vasculitis, , , , , , ,"446.2,446.20,446.29","D69.0,M31.0",C0151436,D018366
myriapodiasis, , , , ,Myriapoda, , , , , 
infestation by Ornithonyssus, , , , , , , , ,C0277426, 
keratitis related to vitamin deficiency, , , , ,vitamin deficiency, , , , , 
parathyroid adenoma, , , , , , , , ,C0262587, 
alcoholic neuropathy, ,"cyanocobalamin,hydroxocobalamin,thiamine(1+) ion", , , , ,357.5,G62.1,C0085677,D020269
Hereditary gelsolin amyloidosis, , , , , , , , ,C0936273, 
Argasosis, , , , ,Argas, , , ,C0277415, 
Dural arteriovenous fistula, , , , , ,Borden classification, , ,C0752156, 
binasal hemianopsia, , , , , , , , , , 
Brugia malayi filariasis,"cellulite,elephantiasis,erythema,fever,lymphadenitis,lymphangitis", , , ,"Brugia malayi,Brugia timori", , , , , 
Immune-mediated disease, , , , , , , , , , 
congenital adrenal hyperplasia due to 17 alpha-hydroxylase deficiency, , , , , , , , , , 
congenital adrenal hyperplasia due to 3 beta-hydroxysteroid dehydrogenase deficiency, ,cortisol, , , , , , , , 
Pulmonary hamartoma, , , , , , ,235.7, ,C0149927, 
Gasping syndrome, , , , ,benzyl alcohol, , , ,C2609173, 
substance-related disorder, , , , ,psychotropic drug, , , , ,D019966
haematomyelia, , , , , , , , ,C0018949, 
vitamin B1 deficiency, , , , , , , , ,C0039841,D013832
vitamin K deficiency,"bleeding,diarrhea", , , , , ,269.0,E56.1,C0042880,D014813
blister beetle dermatitis, , , , ,Meloidae, , , ,C0275108, 
dermacentorosis, , , , ,Dermacentor, , , ,C0277408, 
delusional dysmorphophobia, , , , , , , , ,C0349691, 
epithelial basement membrane dystrophy, , , , , , , ,H18.5,C0521723,C535477
Sphincter of Oddi dysfunction, , , , , ,Nardi test, , ,"C0878588,C4048750",D046628
gelatinous drop-like corneal dystrophy, , , , , , , ,H18.5,C0339273,C535480
"emotionally unstable personality disorder, impulsive type", , , , , , , , , , 
arterial tortuosity syndrome, , , , , , , ,"I77.1,Q87.82",C1859726,C565942
Keratin disease, , , , , , , , , , 
virtual reality sickness, , , , ,virtual reality, , , , , 
gastrointestinal myiasis, , , , , , , , ,C0027033, 
Hurthle cell, , , , , , , , ,C0949541,D018249
Milk stasis, , , , , , , , , , 
Penile myiasis, , , , , , , , , , 
mycobacterium infectious disease, ,clarithromycin,tuberculosis, ,infection, , , ,C0026918,D009164
Mitochondrial diabetes, , , , , , , , , , 
Moniliformis infection, , , , , , , , , , 
muttering delirium, , , , , , , , , , 
stomach neoplasm, , , , , , , , ,C0038356,D013274
central nervous system neoplasm, , , , , , , , , ,D016543
spinal osteochondrosis, , , , , , , , ,C0477611,D055035
acute paraproctitis, , , , , , , , , , 
anal papillitis, , , , , , , , ,CL525256, 
perinephritis, , , , , , , , , ,D010501
malignant immunoproliferative disease, , , , , , , , ,C1264191, 
pathological intoxication, , , , , , , , , , 
Hereditary persistence of fetal hemoglobin, , , , , , , , , , 
Jansky–Bielschowsky disease, , , , , , , ,E75.4,C0022340, 
animal allergy, , , , , , , , , , 
pylorospasm, , , , , , ,537.81, ,C0152163, 
porocephaliasis, , , , , , , , ,C0277483, 
Transitory impairment of cerebral circulation, , , , , , , , ,C0917805, 
Rhabditida infectious disease, , , , ,infection, , , , ,D017196
pseudophilosophical thinking, , , , , , , , , , 
Fibroma of tendon sheath, , , , , , , , , , 
setariosis, , , , ,infection, , , ,C0036850,D012719
ROHHAD, , , , , , , , ,C4053506, 
syncitial endometritis, , , , , , , , , , 
vermiphobia, , , , , , , , , , 
Median nail dystrophy, , , , , , , , , , 
toxascariasis,"diarrhea,vomiting",imidacloprid, , ,"Toxascaris leonina,infection", , , ,C0040522,D017227
trichostrongyloidosis,"abdominal pain,anemia,asthenia,burping,constipation,eosinophilia,headache,irritability", , , ,"Haemonchus contortus,Mecistocirrus digitatus,Ostertagia circumcincta,Ostertagia ostertagi,Trichostrongylus,Trichostrongylus axei,Trichostrongylus colubriformis,Trichostrongylus probolurus,Trichostrongylus skrjabini,Trichostrongylus vitrinus", , , ,C0040947,D014252
fixation amnesia, , , , , , , , , , 
Phormiosis, , , , ,infection, , , ,C0277377, 
Helicobacter pylori infectious disease, ,clarithromycin, , ,infection,"Rapid urease test,urea breath test", ,B96.81, , 
Chrysomya myiasis, , , , ,infection, , , , , 
Chronic thyroiditis, , , , , , , , ,C0242520, 
cementoma, , , , , , , , ,C0007659,D002485
emotionally unstable personality disorder, , , , , , , , ,C0338970, 
17-beta-hydroxysteroid dehydrogenase deficiency,ambiguous genitalia, , , , , , ,E29.1,"C0268296,C1849695",C537805
"2,4 Dienoyl-CoA reductase deficiency", , , , , , , ,G31.8,C1857252,C565624
2p15-16.1 microdeletion syndrome, , , , , , , ,Q93.5,C2675875,C567289
3-methylcrotonyl-CoA carboxylase deficiency,"diarrhea,vomiting", , , , , , , ,"C0268600,CN028786",C535308
3-hydroxy-3-methylglutaryl-CoA lyase deficiency, , , , , , , ,E71.1,"C0268601,C1415614,C1533587",C538324
ACDC, , , , , , , , ,C1859372,C565891
AIDS-related lymphoma, , , , ,HIV/AIDS, , , , ,D016483
Abderhalden–Kaufmann–Lignac syndrome, , , , , , , , ,C2930877,C535335
Abdominal musculature absent with microphthalmia and joint laxity, , , , , , , , , , 
Periodontal abscess, , , , , , , , , ,D010508
Absence of gluteal muscle, , , , , , , , ,C1856398, 
Acinic cell carcinoma of the lung, , , , , , , , , , 
Ackerman syndrome, , ,Interstitial granulomatous dermatitis, , , , ,K00.2,C1860167,C538170
Acne with facial edema, , , , , , , , , , 
actinic prurigo, , , , , , , ,L56.4,"C0406217,C1868090",C566780
Acute cerebellar ataxia of childhood, , , , , , , , , , 
Acute eosinophilic leukemia, ,thioguanine hydrate, , , , , , , ,D015472
acute motor axonal neuropathy, , , , , , , ,G61.0,C3890941, 
acute myelomonocytic leukemia, , , , , , , ,C92.5,C0023479,D015479
Adducted thumb syndrome, , , , , , , ,Q74.8,C0431886, 
Adnexal and skin appendage neoplasms, , , , , , , , ,C0206766,D018294
Adult blaschkitis, , , , , , , , , , 
Adverse reaction to biologic agents, , , , , , , , ,C2959665, 
natural killer cell leukemia, , , , , , , ,"C94.7,C94.8","C1292777,C1522378", 
Loeffler endocarditis,endocarditis, , , , , , ,I42.3,"C0206143,C0264834", 
albinism–deafness syndrome, , , , , , , , , , 
Aldolase A deficiency, , , , , , ,282.3,E74.0,C0272066,C562718
Alezzandrini syndrome, , , , , , , , , , 
alphavirus infections, , , , ,infection, , , , ,D018354
Alveolar capillary dysplasia, , , , , , , , , ,C536590
Amazia, , , , , , , , ,C0432357,C535565
Analbuminaemia, , , , , , , ,R77.0,C0878666, 
angioimmunoblastic T-cell lymphoma, , , , , , , ,C86.5,C0020981, 
Angiomatoid fibrous histiocytoma, , , , , , , , ,C1266127,C563181
Arakawa's syndrome II, , , , , , , , ,C0268611,C537426
Arterial insufficiency ulcer, , , , , , , , ,C4039708, 
arteriolosclerosis, , , , , , , ,I70,C0878486,D050379
Ascher's syndrome,"blepharochalasis,nontoxic goiter", , , , , ,"246.8,374.89",Q87.0,C0339085,C562742
Atrial enlargement, , , , , , , , ,C0741276, 
Attenuated familial adenomatous polyposis, , , , , , , ,D12.6,"C1266024,C2674616",C538265
Atypical ductal hyperplasia, , , , , , , , ,C1332347, 
Atypical tuberous myxedema, , , , , , , , , , 
Auditory neuropathy spectrum disorder, , , , , , , , , , 
Autoimmune inner ear disease, , , , , , , , , , 
Autosplenectomy, , , , , , , , , , 
axillary nerve palsy, , , , , , , , , , 
bagassosis,"chills,muscle weakness", , , , , ,495.1,J67.1,C0004681,D011009
Barcoo fever, , , , , , , , , , 
Bart-Pumphrey syndrome,Knuckle pads, , , , , ,759.89,Q82.8,C0266004,C537210
Beare-Stevenson cutis gyrata syndrome, , , , , , ,759.89,Q87.8,C1852406,C565129
benign paroxysmal vertigo of childhood, , , , , , , , ,C0338487, 
Berk–Tabatznik syndrome, , , , , , , , ,C2930899,C535432
Bilateral frontoparietal polymicrogyria, , , , , , , ,Q04.3,C1847352,C564652
Biphasic disease, , , , , , , , ,C1444007, 
blastocystosis, , , , ,infection, , , , ,D016776
Blocq's disease, , , , , , , , ,C0004090, 
blue toe syndrome, , , , , , , , ,C0242645,D018438
Bohring-Opitz, , , , , , , ,Q87.8,C0796232,C537419
brain fever, , , , , , , , , , 
breakthrough infection, , , , , , , , , , 
Brown induration, , , , , , , , ,C0020807, 
Brown-Vialetto-Van Laere syndrome, , , , , , , , , ,C537111
Bruns apraxia, , , , ,frontal lobe disorder, , , , , 
Buccal bifurcation cyst, , , , , , , , , , 
CD25 deficiency, , , , , , , ,D81.2,C1853392,C565232
CNS demyelinating autoimmune diseases, , , , , , , , , ,D020278
Cadang-cadang, , , , , , , , , , 
calcifying odontogenic cyst, , , , , , , , , ,D018333
Camisa disease, , , , , , , ,Q82.8,C1858805,C565826
Candidal intertrigo, , , , ,infection, , , , , 
carbamoyl phosphate synthetase I deficiency disease, , , , , , , ,E72.2,C0751753,D020165
Carbon stain, , , , , , , , , , 
Carcinoma ex-pleomorphic adenoma, , , , ,pleomorphic adenoma, , , , , 
carnosity, , , , , , , , , , 
cataphylaxis, , , , , , , , , , 
Catel–Manzke syndrome, , , , , , , ,Q87.8,C1844887,C535347
Cavernous venous malformation, , , , , , , , , , 
Cerebroretinal microangiopathy with calcifications and cysts, , , , , , ,348.89,H35.0, ,C567401
cerebrospinal fluid leak,intracranial hypotension, , , , , , , ,C0023182,D065634
Cervical artery dissection, , , , , , , , , , 
squamous cell thyroid carcinoma, , , , , , , , ,C1710177, 
Childhood tumor syndrome, , , , , , , , , , 
chorangiosis, , , , , , , , , , 
chromosomal fragile site, , , , , , , , , ,D043283
Chronic diarrhea of infancy, , , , , , , , ,C0473132,D003968
Chronic eosinophilic leukemia, , , , , , , ,D47.5,C0346421,C580364
Chronic phase chronic myelogenous leukemia, , , , , , , , , ,D015466
chronic traumatic encephalopathy, , , , , , , ,G93.49, ,D000070627
Chyloderma, , , , , , , , ,C1997700, 
clay-shoveler fracture, , , , , , , , , , 
clipping, , , , , , , , , , 
Raynaud syndrome, , ,Raynaud disease, , , , , , , 
Collagenous spherulosis, , , , , , , , ,C2960502, 
mixed hyperlipidemia, , , , , , , , , , 
Complement 3 deficiency, , , , , , , ,D84.1,"C1332655,C3151071",C565169
Complicated grief disorder, , , , , , , , , , 
congenital secretory chloride diarrhea 1,diarrhea, , , , , , , ,C0267662,C536210
congenital disorder of glycosylation type IIc,"dwarfism,hh blood group,infection,intellectual disability", , , , , , , ,C0398739, 
Congenital distal spinal muscular atrophy, , , , , , , , , , 
congenital dyserythropoietic anemia type IV, , , , , , , , , , 
Congenital hearing loss, , , , , , , , ,C0339789, 
congenital limb deformities, , , , , , , , ,C0206762,D017880
congenital melanocytic nevus, , , , , , , , , , 
congenital diarrhea 5 with tufting enteropathy, , , , , , , ,P78.3,C2750737,C567703
Contact stomatitis, , , , , , , , ,C1290773, 
Copenhagen disease, , , , , , , ,Q87.8, , 
cor triatriatum, , , , , , ,746.82,Q24.2,C0009995,D003310
Cornea plana 1, , , , , , , , , , 
coronary occlusion, , , , , , , , , ,D054059
Cramp fasciculation syndrome, , , , , , , , , , 
Craniotabes, , , , ,rickets, , , , , 
Crouzonodermoskeletal syndrome, , , , , , , ,Q75.1,C2677099,C567382
Currarino syndrome, , , , , , ,759.89,Q87.8,"C1415596,C1531773,C1867774,C1867775",C536221
cutaneous T cell lymphoma, ,"bexarotene,methoxsalen", , , , , , ,C0079773,D016410
Cutaneous group B streptococcal infection, , , , , , , , , , 
cystic kidney disease, , , , , , , ,Q61,"C0022679,C1691228,C3887499",D052177
cysticercosis cutis, , , , ,Taenia solium, , , ,C1274541, 
Defatting, , , , , , , , ,C2939079, 
defective interfering particle, , , , , , , , , ,D000089783
delta thalassemia, , , , , , , , , ,D055538
dentin dysplasia, , , , , , , ,K00.5,"C0011430,C4023558",D003805
denture stomatitis, , , , , , ,528.9,K12.1,C0038364,D013282
dermatopathia pigmentosa reticularis, , , , , , , ,Q82.4,C0406778,C535374
Desmosterolosis, , , , , , ,272.8,Q87.8,C1865596,C566555
dientamoebiasis,"abdominal cramps,diarrhea,nausea", , , ,Dientamoeba fragilis, , , ,C0012147,D004030
Diffuse leprosy of Lucio and Latapí, , , , , , , , , , 
disequilibrium, , , , , , , , ,C0281825, 
distal muscular dystrophy, , , , , , , ,G71.0,"C0751336,C1864706",D049310
Dolichodouglas, , , , , , , , , , 
dolichostenomelia, , , , , , , , ,C1836644, 
Dunnigan familial partial lipodystrophy, , , , , , , , , , 
dyschromatosis universalis hereditaria, , , , , , , ,L81.8,"C1306229,C2930995",C535730
EEM syndrome, , , , , , , ,Q87.8,C1857041,C536190
elephantiasis nostras, , , , , , , , , , 
embryoma, , , , , , , , ,C0936282, 
enchondromatosis, , , , , , , , , ,D004687
endogenous depression, , , , , , , , ,"C0011573,C0041696", 
Endovascular papillary hemangioendothelioma, , , , , , , ,D18.0,C0346087, 
Ependymal tumor, , , , , , , , ,C1333407, 
Epidermal nevus syndrome, , , , , , , , ,C0334082, 
Epidermolysis bullosa simplex with mottled pigmentation, , , , , , ,757.39,Q81.0,C0432316,C535959
epidermolytic acanthoma, , , , , , , , ,C1333414, 
Epithelioma cuniculatum, , , , , , , , ,"C0349657,C1335424", 
esophageal candidiasis,bleeding,"anidulafungin,fluconazole,voriconazole", , , , ,112.84,B37.81,C0239295, 
Estrogen insensitivity syndrome, , , , , , , , ,"C1851467,C3809250",D013734
linear IgA bullous dermatosis, , , , , , , ,L10.8,C0406650,D062027
stomach upset, , , , , , , , ,C0235309, 
extravasation of urine, , , , , , , , ,C0152245, 
Familial aortic dissection, , , , , , , , , , 
familial partial lipodystrophy, , , , , , , ,E88.1,"C0271694,C1720859,C1720860,C1720861",D052496
Familial male-limited precocious puberty, , , , , , , ,E30.1,"C0342549,C1504412,C2674612",C536961
Fatty-acid metabolism disorder, , , , , , , , , , 
Fibrinolysis syndrome, , , , , , , , , , 
Fibrocartilaginous mesenchymoma of bone, , , , , , , , , , 
fibroepithelial neoplasms, , , , , , , , ,C0206649,D018225
Fibrofolliculoma, , , , , , , , , , 
first arch syndrome, , , , , , , , , , 
Fleischer's syndrome, , ,isolated growth hormone deficiency type III, , , , , , , 
Floating-Harbor syndrome, , , , , , ,759.89,Q87.8,C0729582,C537062
Flynn–Aird syndrome, , , , , , , ,Q87.8,C0343108,C537066
focal dermal hypoplasia, , , , , , ,757.39,Q82.8,C0016395,D005489
focal facial dermal dysplasia, , , , , , , , ,C1744559,D000090303
follicle-stimulating hormone insensitivity, , , , , , , , , , 
Frank–Ter Haar syndrome, , , , , , , ,Q87.8,C1855305,C537274
GAPO syndrome, , , , , , , ,Q87.8,C0406723, 
galactokinase deficiency, , , , , , , ,E74.29,C0268155, 
Gangliocytic paraganglioma, , , , , , , , ,C3272539, 
Gartner's duct cyst, , , , , , , , , , 
Gastrojejunocolic fistula,fecal vomiting, , , , , , , , , 
Generalized atrophic benign epidermolysis bullosa, , , , , , , , , , 
Generalized pustular psoriasis, , , , , , ,696.1,L40.1,C0343055, 
Genitopatellar syndrome, , , , , , ,759.89,Q87.8,C1853566,C565255
genuphobia, , , , , , , , , , 
polycystic ovary, , , , , , , , ,CL949301, 
geotrichosis, , , , ,infection, ,117.9,B48.3,C0017455,D005847
Gestational choriocarcinoma, , , , , , ,181,C58,C0349557, 
Ghosal hematodiaphyseal dysplasia, , , , , , ,756.59, ,C1856465,C565551
Giant platelet disorder, , , , , , , , , , 
pulmonary alveolar microlithiasis, , , , , , ,516.2,"J84.0,J84.02",C0155912,C562405
