diseaseLabel,symptomsLabel,treatmentLabel,differentFromLabel,riskLabel,causeLabel,diagnosisLabel,icd9,icd10,umls,mesh
metapneumovirus infection,"bronchiolitis,cough,dyspnea,fever,nasal congestion,pneumonia,poisoning,runny nose,sneeze",ribavirin, , ,Metapneumovirus,"ELISA,polymerase chain reaction", , ,C1736136, 
Mycoplasma pneumoniae infection,"arthralgia,bronchitis,cough,fatigue,fever,headache,malaise,pain,runny nose", , , ,Mycoplasma pneumoniae, , ,"J15.7,J20.0", , 
parapertussis, ,"cephalosporin antibiotic,macrolides", , ,Bordetella parapertussis, , , , , 
Flurona, , , , , , , , , , 
Jamestown Canyon encephalitis,"cough,fever,headache,meningism signs,nausea,rhinitis,sore throat,vomiting", , , ,Jamestown Canyon orthobunyavirus,"ELISA,Hemagglutination assay,complement fixation test,immunofluorescence microscopy,lumbar puncture,neurological examination,viral culture", , , , 
Strongylosis, , , , ,Strongylida, , , , , 
post-fever retinitis, , , , , , , , , , 
selenium exposure,"Gastrointestinal distress,bronchitis,burn,chills,dermatitis,dysgeusia,dyspnea,eye burn,eye irritation,fever,garlic breath,headache,irritant dermatitis,nasal irritation,throat irritation,visual disturbance", , , ,selenium, , , ,CL495082, 
"Harmful effects of or exposure to noxious substances, chiefly nonmedicinal as to source, not elsewhere classified", , , , , , , , , , 
Morgellons, , , , , , , , , ,D055535
adopted child syndrome, , , , ,adoption, , , , , 
electromagnetic hypersensitivity, , , , , , , , , , 
associated phoria, , , , , , , , , , 
drapetomania, , , , , , , , , , 
Candida hypersensitivity, , , , , , , , , , 
female hysteria, , , , , , , , , , 
Abandoned child syndrome, , , , ,child abandonment, , , , , 
adrenal fatigue, , , , , , , , , , 
Autistic enterocolitis, , , , , , , , , , 
Binocular dysphoria, , , , , , , , , , 
excited delirium,"delirium,psychomotor agitation,sweating", , , , , , , ,C1848465, 
mandibular decubitus syndrome, , , , , , , , , , 
scotopic sensitivity syndrome, , , , , , , , , , 
Tension myositis syndrome, , , , , , , , , , 
Wind turbine syndrome, , , , , , , , , , 
Q11880793, , , , , , , , , , 
Wilson's temperature syndrome, , ,Wilson disease, , , , , , , 
anorexia scholastica, , , , ,overstrain, , , , , 
leaky-gut syndrome, , ,Intestinal permeability, , , , , , , 
Chronic Lyme disease, , ,"Lyme disease,Post-Treatment Lyme Disease", , , , , ,C3890422, 
non-celiac gluten sensitivity, , , , , , , , , , 
postural deficiency syndrome, , , , , , , , , , 
microwave disease, , , , , , , , , , 
virtual autism, , , , , , , , , , 
rope worms, , , , , , , , , , 
Highlander Syndrome, , , , , , , , , , 
Q101437279, , , , , , , , , , 
Unipolar mania, , , , , , , , , , 
Mediastinal shift, , , , , , , , ,C0264576, 
diprosopus, , ,conjoined twins, , , , , , , 
Norman–Roberts syndrome, , , , , , , ,Q04.3,C0796089,C537848
fucosidosis, , , , , , ,271.8,E77.1,C0016788,D005645
Holt-Oram syndrome, , , , , , ,759.89,Q87.2,C0265264,C535326
visceral heterotaxy, , , , , , , ,Q89.3,"C0266642,C1167664,C1415817,C1854334,C3178806",D059446
Klinefelter's syndrome,"azoospermia,dyslexia,gynecomastia,hypogonadism,muscle weakness,obesity,osteoporosis",testosterone,XYY syndrome, , , ,758.7,"Q98.0,Q98.4",C0022735,D007713
chromosome 1q21.1 deletion syndrome, , , , , , ,758.33,Q93.5,C2675897, 
progeria, , , , , , ,259.8,E34.8,"C0033300,C2750285",D011371
polyploidy, , , , , , , ,Q92.7,C0032578,D011123
chromosome 5q deletion syndrome, ,(RS)-lenalidomide, , , , , ,D46.7,"C0740302,C1292779,C1835193",C535323
congenital cystic adenomatoid malformation, , , , , , , ,Q33.0,"C0010668,C0158641",D015615
prune belly syndrome, , , , , , ,756.71,Q79.4,"C0033770,C0265363",D011535
alpha-mannosidosis, , , , , , ,271.8,E77.1,C0024748,D008363
SADDAN, , , , , , ,"757.39,783.40",Q77.4,C2674173, 
XYY syndrome, , , , , , , ,Q98.5,"C0043379,C3266843",D014997
Ebstein anomaly, , , , , , ,746.2,Q22.5,C0013481,D004437
Proteus syndrome, , , , , , ,759.89,Q87.3,"C0085261,C1867610",D016715
beta-mannosidosis, , , , , , ,271.8,E77.1,"C0342849,C2931893,C4048196",D044905
Aase syndrome, , , , , , , ,Q87.8,C0220686,C535332
abetalipoproteinemia, , , , , , , ,E78.6,C0000744,D000012
adermatoglyphia, , , , , , , ,Q82.8,"C1851080,C1852150",C565010
polydactyly, , , , , , ,"755.0,755.00","Q69,Q69.0,Q69.1,Q69.2,Q69.9","C0152427,C0220697",D017689
Townes-Brocks syndrome, , , , , , ,759.89,Q87.8,"C0265246,C1862683,CN034849",C536974
anus leiomyoma, , , , , , , , ,C1332266, 
epithelioid neurofibroma, , , , , , ,215.9, ,C1275264, 
atypical neurofibroma, , , , , , , , ,C1510961, 
multiple mucosal neuroma, , , , , , , , ,C1334828, 
vaginal endometrial stromal tumor, , , , , , , , ,C4289585, 
endometrium carcinoma in situ, , , , , , ,233.2,D07.0,C0346191, 
monodermal teratoma, , , , , , , , ,C1302569, 
demyelinating polyneuropathy, , , , , , ,356.9, ,C0270922, 
inflammatory leiomyosarcoma, , , , , , , , ,C1334179, 
conventional leiomyosarcoma, , , , , , , , ,C1333157, 
heart sarcoma, , , , , , , , ,C0238152, 
small intestinal sarcoma, , , , , , , , ,C1336007, 
uterine ligament clear cell adenocarcinoma, , , , , , , , ,C1519867, 
urethra clear cell adenocarcinoma, , , , , , , , ,C1336886, 
testicular granulosa cell tumor, , , , , , , , ,C1336709, 
Bartholin's gland adenoma, , , , , , , , ,C1511048, 
brain angioma, , , , , , , , ,C0238814, 
vaginal adenoma, , , , , , , , ,C1519913, 
urinary bladder villous adenoma, , , , , , , , ,C1336893, 
bladder papillary transitional cell neoplasm, , , , , , , , ,C1511197, 
intrahepatic bile duct adenoma, , , , , , , , ,C1331535, 
ovarian serous adenofibroma, , , , , , , , ,C1518729, 
clear cell adenofibroma, , , , , , , , ,C0334317, 
spindle cell synovial sarcoma, , , , , , , , ,C0334505, 
biphasic synovial sarcoma, , , , , , , , ,C0334507, 
colon squamous cell carcinoma, , , , , , , ,"C18.0,C18.2,C18.3,C18.4,C18.5,C18.6,C18.7,C18.8,C18.9",C1333100, 
keratinizing squamous cell carcinoma, , , , , , , , ,C0334247, 
renal pelvis squamous cell carcinoma, , , , , , , , ,C0238409, 
fallopian tube squamous cell carcinoma, , , , , , , , ,C1333596, 
choriocarcinoma of ovary, , , , , , , ,C56,C0346181, 
lung papillary adenocarcinoma, , , , , , ,162.9, ,C1335325, 
fallopian tube papillary adenocarcinoma, , , , , , , , ,C1333595, 
acute T cell leukemia, , , , , , , ,"C91.5,C91.50",C0023493, 
trigeminal nerve disease, , , , , , ,350.8, ,C0029834,D020433
adenosquamous colon carcinoma, , , , , , , , ,C1333082, 
endometrial adenosquamous carcinoma, , , , , , , , ,C3896969, 
cervical adenosquamous carcinoma, , , , , , , , ,C0346202, 
adenosquamous pancreas carcinoma, , , , , , , , ,C1335299, 
urethral villous adenoma, , , , , , , , ,C1519828, 
pleomorphic carcinoma, , , , , , , , ,C0334233, 
sweat gland carcinoma, , , , , , , , ,C1412016, 
embryonal testis carcinoma, , , , , , , , ,C0238448, 
esophagus liposarcoma, , , , , , , , ,C1333456, 
pediatric liposarcoma, , , , , , , , ,C0279984, 
sclerosing liposarcoma, , , , , , ,171.9, ,C0334469, 
adrenal neuroblastoma, , , , , , , , ,C0559460, 
uterine ligament cancer, , , , , , , , ,"C0864950,C1519870", 
pancreatic vasoactive intestinal peptide producing tumor, , , , , , , , ,C2033037, 
malignant mesenchymoma, , , , , , , , ,C0334492,C535700
sebaceous gland neoplasm, , , , , , ,239.2, ,C0036503,D012626
cavernous hemangioma of face, , , , , , , , ,C1332863, 
rectum neuroendocrine neoplasm, , , , , , , , ,C1335686, 
macrotrabecular hepatoblastoma, , , , , , , , ,C1334543, 
childhood parosteal osteogenic sarcoma, , , , , , , , ,C1332994, 
endometrioid ovary carcinoma, , , , , , , ,C56,C0346163, 
uterine ligament endometrioid adenocarcinoma, , , , , , , , ,C1519868, 
testis seminoma, , , , , , , , ,C0036631, 
anterolateral myocardial infarction, , , , , , , , ,C0262564, 
septal myocardial infarction, , , , , , , , ,C0746727, 
subendocardial myocardial infarction, , , , , , , , ,C3642476, 
silent myocardial infarction, , , , , , , , ,C0340324, 
clear cell chondrosarcoma, , , , , , , , ,C1266167, 
penis non-invasive verrucous carcinoma, , , , , , , , ,C1334984, 
brachial plexus neoplasm, , , , , , , , ,C1332602, 
extrahepatic bile duct small cell adenocarcinoma, , , , , , , , ,C1335979, 
kidney pelvis papillary carcinoma, , , , , , , , ,C1377909, 
breast fibrosarcoma, , , , , , , , ,C1332630, 
central nervous system mature teratoma, , , , , , , , ,C1332886, 
renal pelvis urothelial papilloma, , , , , , , , ,C1514844, 
nasal cavity carcinoma in situ, , , , , , ,231.8,D02.3,C0347095, 
gastric diffuse adenocarcinoma, , , , , , , , ,"C0279635,C0334280", 
peritoneal serous papillary adenocarcinoma, , , , , , , , ,C1368918, 
gastric cardia adenocarcinoma, , , , , , , , ,C1333762, 
malignant ACTH producing neoplasm of pituitary gland, , , , , , , , ,C1334556, 
childhood cerebellar astrocytic neoplasm, , , , , , , , ,C0278594, 
corpus callosum lipoma, , , , , , , , ,C1333160, 
tibial adamantinoma, , , , , , , , ,C1273017, 
adult malignant hemangiopericytoma, , , , , , , , ,C0279547, 
bilateral meningioma of optic nerve, , , , , , , , ,C1332551,C000608854
chronic lymphocytic leukemia and small lymphocytic lymphoma, , , , , , , , ,C1302547, 
childhood brainstem astrocytoma, , , , , , , , ,C1332950, 
ovarian papillary cystadenoma, , , , , , , , ,C1335175, 
cervical adenoid basal carcinoma, , , , , , , , ,C1516403, 
clear cell variant infiltrating bladder urothelial carcinoma, , , , , , , , ,C1512737, 
invasive bladder transitional cell carcinoma, , , , , , , , ,C1334281, 
lung acinar adenocarcinoma, , , , , , , , ,C1332137, 
rete testis adenoma, , , , , , , , ,C1514910, 
adult myxoid chondrosarcoma, , , , , , , , ,C1332209, 
ethmoid sinus Schneiderian papilloma, , , , , , , , ,C1333476, 
ethmoid sinus inverted papilloma, , , , , , , , ,C1333474, 
bladder colonic type adenocarcinoma, , , , , , , , ,C1511188, 
classic variant of chromophobe renal cell carcinoma, , , , , , , , ,C1333062, 
vulva adenocarcinoma, , , , , , , , ,C1336975, 
vulva squamous cell carcinoma, , , , , , , , ,C0280856, 
central nervous system sarcoma, , , , , , , , ,C1332892, 
paraurethral gland neoplasm, , , , , , ,239.5, ,C0341766, 
malignant ovarian cyst, , , , , , , , ,C0235770, 
malignant ovarian surface epithelial-stromal neoplasm, , , , , , , , ,C1518236, 
nasal cavity disease, , , , , , , , ,C0339820, 
post-surgical hypoinsulinemia, , , , , , ,251.3,E89.1,C0154190, 
myeloproliferative neoplasm, , , , , , , ,D47.1,"C1292778,C1328061", 
hypertrophic elongation of cervix, , , , , , ,622.6,N88.4,C0020561, 
atrophy of prostate, , , , , , ,602.2,N42.2,C0156296, 
colonic benign neoplasm, ,"fluorouracil,irinotecan,levamisole,lomustine", , , , , , ,C0009375, 
West Nile encephalitis,"coma,mental confusion,muscle weakness,paralysis",ribavirin, , ,infection, ,066.41,A92.31,C0751583, 
iris disease, , , , , , , , ,C0022078,D007499
gangliocytoma, , , , , , , , ,CL378224, 
infantile epileptic encephalopathy, ,"corticotropin,topiramate", , , , , , , ,D013036
phosphorus metabolism disease, ,sevelamer, , , , ,275.3,E83.3,C0031707,D010760
inflammatory and toxic neuropathy, , , , , , ,"357,357.7,357.8,357.9", ,C0154758, 
granulomatous angiitis, , , , , , , , ,C0018202, 
hemangioma of spleen, , , , , , , , ,C0685201, 
breast intracanalicular fibroadenoma, , , , , , , , ,C0334496, 
cystic teratoma, , , , , , , , ,C1368903, 
liver angiosarcoma, , , , , , , ,C22.3,C0345907, 
intracystic papillary adenoma, , , , , , , , ,C0334374, 
Leydig cell tumor, , , , , , , , ,C0023601,D007984
nephrogenic adenofibroma, , , , , , , , ,C1266141, 
ethmoid sinus squamous cell carcinoma, , , , , , , , ,C1333477, 
long bone adamantinoma, , , , , , , , ,C0334556,C562741
rectosigmoid junction cancer, , , , , , ,154.0,C19,C0153443, 
germ cell cancer, ,"carboplatin,cisplatin,etoposide,gemcitabine,irinotecan", , , , , , ,"C0205851,C0740345", 
breast myoepithelial neoplasm, , , , , , , , ,C1511319, 
papillary carcinoma, , , , , , , , ,C0007133,D002291
facial dermatosis, ,"Clocortolone,DL-lactic acid,alclometasone,amcinonide,betamethasone,clobetasol,cortisol,desonide,desoximetasone,diflorasone,fluocinolone,flurandrenolide,halcinonide,prednicarbate,tretinoin,triamcinolone", , , , , , ,C0015456,D005148
adult oligodendroglioma, , , , , , , , ,"C0279070,C1332190", 
causalgia, ,tolazoline, , , , , ,G56.4,C0007462,D002422
prostate embryonal rhabdomyosarcoma, , , , , , , , ,C1335508, 
thymus cancer, ,sunitinib, , , , ,164.0,C37,"C0751552,C3714644", 
spindle cell thymoma, , , , , , , ,"C37,D15.0",C1266091, 
hepatic angiomyolipoma, , , , , , , , ,C1333962, 
epithelioid type angiomyolipoma, , , , , , , , ,C1333426, 
localized osteosarcoma, , , , , , , , ,C0278511, 
bone Ewing's sarcoma, , , , , , ,170.9, ,"C0585474,C1333481,C1334406", 
chondroblastic osteosarcoma, , , , , , , , ,C0279603, 
scrotal carcinoma, , , , , , , , ,C1370468, 
ampullary signet ring cell adenocarcinoma, , , , , , , , ,C1332249, 
breast mucinous carcinoma, , , , , , , , ,C1334807, 
spinal cord intramedullary teratoma, , , , , , , , ,C1334259, 
cervical mucinous adenocarcinoma, , , , , , , , ,C1332919, 
fallopian tube mucinous tumor, , , , , , , , ,C1517120, 
solitary plasmacytoma of chest wall, , , , , , , , ,C1332936, 
urethra squamous cell carcinoma, , , , , , , , ,C1336890, 
cranial nerve palsy, , , , , , , , ,C0151311, 
chromophobe adenoma, , , , , , , , ,C0001432,D000238
diencephalic neoplasm, , , , , , , , ,"C1333286,C1334576", 
male reproductive organ cancer, , , , , , ,"187.8,187.9","C60-C63,C63.9", , 
functional colonic disease, ,loperamide, , , , , , ,C0009374,D003109
apocrine adenoma, , , , , , , , ,C0334345, 
diffuse lipomatosis, , , , , , , , ,C1333298, 
oral tuberculosis, , , , , , ,"017.90,528.9", ,C0041323,D014393
fungal gastritis, , , , , , , , ,C0948638, 
gallbladder rhabdomyosarcoma, , , , , , , , ,C1333756, 
ovary rhabdomyosarcoma, , , , , , , , ,C1335176, 
congenital structural myopathy, , , , , , , , ,C0752282,D020914
extraosseous Ewing's sarcoma, , , , , , , , ,C1333514, 
pulmonary immaturity, ,Tyloxapol, , , , ,770.4,P28.0,C0270163, 
external ear basal cell carcinoma, , , , , , , , ,C1333491, 
adamantinoid basal cell epithelioma, , , , , , , , ,C1304295, 
signet ring basal cell carcinoma, , , , , , , , ,C1519320, 
splenic manifestation of prolymphocytic leukemia, , , , , , , , ,C1336066, 
papillary squamous carcinoma, , , , , , , , ,C0334244, 
sea-blue histiocyte syndrome,Sea-blue histiocytosis, , , , , , ,D76.3,C0036489,D012618
hereditary renal cell carcinoma, , , , , , , , ,"C2608055,C2931352",C536851
sarcomatoid renal cell carcinoma, , , , , , , , ,C1266043, 
pediatric angiosarcoma, , , , , , , , ,C0279988, 
aorta angiosarcoma, , , , , , , , ,C1332312, 
type C thymoma, , , , , , , , ,C1322286, 
biliary tract cancer, , , , , , ,156.9,C24.9,C4020709, 
intraocular retinoblastoma, , , , , , , , ,C0278717, 
benign mastocytoma, , , , , , , ,D47.09,C0024897, 
breast metaplastic carcinoma, , , , , , , ,"C50.0,C50.1,C50.2,C50.3,C50.4,C50.5,C50.6,C50.8",C1334708, 
verrucous keratotic hemangioma, , , , , , , , ,C0334540, 
testicular sex cord-stromal neoplasm, , , , , , , ,C62.1,C1515289, 
focal embolic glomerulonephritis, , , , , , , , ,C0238143, 
cerebellopontine angle primitive neuroectodermal, , , , , , , , ,C1332904, 
subependymal glioma, , , , , , , ,D43.2,C0206725,D018315
benign ependymoma, , , , , , , , ,C0014474, 
anal carcinoma, ,"capecitabine,fluorouracil,nivolumab", , , , , , ,C0279637, 
adenocarcinoma in situ, , , , , , , , ,C0334276,D065311
neurohypophysis granular cell tumor, , , , , , , , ,C1333873, 
synchronous multifocal osteogenic sarcoma, , , , , , , , ,C1336544, 
pineal region mature teratoma, , , , , , , , ,C1335417, 
predominantly cortical thymoma, , , , , , , , ,C1266094, 
urethra inverted papilloma, , , , , , , , ,C1336887, 
bladder urothelial papillary carcinoma, , , , , , , , ,C1518882, 
pancreatic cholera, , , , ,VIPoma, ,259.3, ,C0086768, 
Borst-Jadassohn intraepidermal carcinoma, , , , , , , , ,"C0334260,C2937231", 
vulvar basaloid squamous cell carcinoma, , , , , , , , ,C2211850, 
thymus basaloid carcinoma, , , , , , , , ,C1332464, 
multiple skull base meningioma, , , , , , , , ,C1334829, 
precursor B lymphoblastic lymphoma/leukemia, , , , , , , , ,"C0862030,C2698310", 
macrocystic pattern testicular yolk sac tumor, , , , , , , , ,C1515307, 
diaphragma sellae meningioma, , , , , , , , ,C1333283, 
epiglottis neoplasm, , , , , , , , ,C1290353, 
endometrial small cell carcinoma, , , , , , , , ,C1516858, 
anal Buschke-Lowenstein tumor, , , , , , , , ,C1332278, 
lung clear cell carcinoma, , , , , , , , ,C0345959, 
nodular episcleritis,inflammation, , , , , ,379.02,H15.12,C0155352, 
childhood extraosseous osteosarcoma, , , , , , , , ,C1332968, 
urethral benign neoplasm, , , , , , , , ,C0041971, 
superficial urinary bladder cancer, , , ,smoking, , , , ,C1336527, 
adrenal medulla carcinoma, , , , , , , , ,C1334717, 
spindle cell variant squamous cell breast carcinoma, , , , , , , , ,C1519487, 
large cell carcinoma with rhabdoid phenotype, , , , , , , , ,C1265997, 
vulvar proximal-type epithelioid sarcoma, , , , , , , , ,C1520093, 
small intestinal L-cell glucagon-like peptide producing tumor, , , , , , , , ,C3274143, 
breast myoepitheliosis, , , , , , , , ,C1513799, 
eccrine porocarcinoma, , , , , , , , ,C1266065,D057090
supraglottis squamous cell carcinoma, , , , , , , , ,C0749163, 
fibrosarcomatous osteosarcoma, , , , , , , , ,C0279602, 
sarcomatosis of the meninges, , , , , , , , ,C0334612, 
malignant granular cell skin tumor, , , , , , , , ,C1334575, 
acantholytic squamous cell skin carcinoma, , , , , , , , ,C0345979, 
sphenoid sinus inverted papilloma, , , , , , , , ,C1336037, 
maxillary sinus adenocarcinoma, , , , , , , , ,C1334642, 
acinar cell cystadenocarcinoma, , , , , , , , ,C1266087, 
childhood malignant schwannoma, , , , , , , , ,C0279987, 
neonatal leukemia, , , , , , , , ,C0235813, 
childhood multilocular cystic kidney neoplasm, , , , , , , , ,C1332983, 
adult spinal cord glioblastoma multiforme, , , , , , , , ,C0559185, 
sphenocavernous meningioma, , , , , , , , ,C1336036, 
spinal multifocal clear cell meningioma, , , , , , , , ,C1336051, 
chronic toxic polyneuropathy, , , , , , , , ,C1333048, 
adult extraosseous chondrosarcoma, , , , , , , , , , 
intracranial chondrosarcoma, , , , , , , , ,C1334238, 
benign mediastinal neurilemmoma, , , , , , , , , , 
stroma-dominant and stroma-poor composite ganglioneuroblastoma, , , , , , , , ,C1516761, 
sclerosing breast papilloma, , , , , , , , ,C1335932, 
central nervous system osteosarcoma, , , , , , , , ,C1335150, 
periocular meningioma, , , , , , , , ,C1335383, 
bladder tubulo-cystic clear cell adenocarcinoma, , , , , , , , ,C1511203, 
olfactory groove meningioma, , , , , , , , ,C1335107, 
myxomatous pattern testicular yolk sac tumor, , , , , , , , ,C1515309, 
vaginal tubulovillous adenoma, , , , , , , , ,C1519933, 
fibroepithelial polyp of urethra, , , , , , , , ,C1336884, 
pseudovascular skin squamous cell carcinoma, , , , , , , , ,C1335974, 
cervical atypical polypoid adenomyoma, , , , , , , , ,C1516409, 
myotonic cataract, , , , , , ,"359.29,366.43", ,C0027128, 
upper clivus meningioma, , , , , , , , ,C1336871, 
intrahepatic biliary papillomatosis, , , , , , , , ,C1334258, 
synovial angioma, , , , , , , , ,C1336546, 
intratubular embryonal carcinoma, , , , , , , , ,C1336096, 
mixed endometrial stromal and smooth muscle tumor, , , , , , , , ,C1513364, 
microglandular adenosis of breast, , , , , , , , ,C1334753, 
childhood choriocarcinoma of the ovary, , , , , , , , ,C1332987, 
endocervical type cervical mucinous adenocarcinoma, , , , , , , , ,"C1266059,C1266079,C1516421", 
epithelioid malignant peripheral nerve sheath tumor, , , , , , , , ,C1321427, 
glassy cell variant cervical adenosquamous carcinoma, , , , , , , , ,C1516407, 
adult malignant schwannoma, , , , , , , , ,C0278622, 
carcinoma arising in nasal papillomatosis, , , , , , , , ,C1332840, 
malignant glandular tumor of peripheral nerve sheath, , , , , , ,171.9, ,C1333821, 
transient retinal arterial occlusion, , , , , , ,362.34,H34.0,C0154840, 
barbiturate abuse, , , , , , ,305.43,F13.11,C0154529, 
ulcer of lower limbs, , , , , , ,707.13, , , 
gum cancer, ,cetuximab, , , , ,"143,143.8,143.9","C03,C03.9",C0153364, 
subacute delirium, ,"paraldehyde,propofol", , , , ,293.1, ,C0154333, 
alcoholic gastritis, , , , , , ,"535.3,535.30",K29.2,C0156076, 
leukoplakia of penis, , , , , , ,607.0,N48.0,C0022782, 
disseminated chorioretinitis, , , , , , ,"363.1,363.10","H30.1,H30.10",C0154879, 
eye carcinoma in situ, , , , , , ,234.0,D09.2,C0154094, 
lower lip cancer, , , , , , ,140.1,C00.1,C0432520, 
primary thrombocytopenia, , , , , , ,"287.3,287.30,287.39","D69.4,D69.49",C0477317, 
cervix uteri carcinoma in situ, , , , , , ,233.1,"D06,D06.9",C0851140, 
liver lymphoma, , , , , , , , ,C1112746, 
larynx carcinoma in situ, , , , , , ,231.0,D02.0,C0154069, 
lower gum cancer, , , , , , ,143.1,C03.1,C0432581, 
mucocutaneous leishmaniasis, , , , ,Leishmania braziliensis, ,085.5,B55.2,"C1328252,C3495436",D007897
amino acid metabolic disorder, , , , , , ,"270,270.9",E72.9,C0002514,D000592
nasal cavity neoplasm, , , , , , , , ,C0345630, 
urethral false passage, , , , , , ,599.4,N36.5,C0156286, 
urethral diverticulum, , , , , , ,599.2,N36.1,C0152443, 
gonococcal iridocyclitis, , , , , , ,098.41,A54.32,C0153212, 
tethered spinal cord syndrome, , , , , , ,741,"Q05,Q05.9",C0080178, 
Aicardi syndrome, , ,Aicardi-Goutieres syndrome, , , , ,Q04.0,C0175713,D058540
"mesomelic dwarfism, Nievergelt type", , , , , , , ,Q78.8,C0432231,C536120
Alves syndrome, , , , , , , , ,"C1866427,C2931256",C536593
tetraploidy, , , , , , , ,Q92.7,C0333694,D057891
Edwards syndrome, , ,orofaciodigital syndrome VIII, , , ,758.2,"Q91.0,Q91.1,Q91.2,Q91.3",C0152096,D000073842
Bannayan-Riley-Ruvalcaba syndrome, , , , , , ,759.6,"Q87.8,Q87.89",C0265326, 
ring chromosome, , , , , , , ,Q93.2, ,D012303
Simpson-Golabi-Behmel syndrome, , , , , , ,759.89,Q87.3,C0796154,C537340
Camurati-Engelmann disease, , , , , , ,756.59,Q78.3,"C0011989,C2931842",D003966
trisomy 16, , , , , , , ,Q92.1,C1519651,C538041
macroglossia, , , , , , , ,Q38.2,"C0009677,C0024421",D008260
aortic valve stenosis,"angina pectoris,syncope", , , , , , , ,"C0003507,C0152417,C0155567,C3542024",D001024
Angelman syndrome, , , , , , ,759.89,Q93.5,"C0162635,C1412397",D017204
Williams-Beuren syndrome,supravalvular aortic stenosis, , , , , ,759.89,Q87.8,C0175702,D018980
anorchia, , ,anarchy, , , , ,Q55.0, , 
cherubism, , , , , , ,526.89,"K10.8,M27.8",C0008029,D002636
Dubowitz syndrome,ptosis, , , , , ,742.8,Q87.1,C0175691,C535718
mucopolysaccharidosis VI, , , , , , , ,E76.2,C0026709,D009087
Antley-Bixler syndrome,craniosynostosis, , , ,cytochrome P450 Oxidoreductase Deficiency, , ,Q87.0,"C0265307,C1860042,C2350233,C2936791",D054882
laryngomalacia, , , , , , ,748.3,Q31.5,"C0264303,C0345160",D055092
camptodactyly, , , , , , ,755.59,Q68.1,"C1306668,C2751430,C2931353","C536852,C567780"
Fabry disease,"angiokeratoma,anhidrosis,arterial hypertension,chronic neuropathic pain,cornea verticillata,fatigue,kidney failure,nausea,pain,peripheral neuropathy,restrictive cardiomyopathy,vertigo","Agalsidase beta,migalastat hydrochloride", , , , , ,"E75.2,E75.21","C0002986,C1970820",D000795
coarctation of the aorta,"cardiomegaly,chest pain,decreased appetite,dizziness,dyspnea,failure to thrive,fatigue,headache,intermittent claudication,nosebleed",alprostadil,"Interrupted aortic arch,aortic valve stenosis", , ,"magnetic resonance angiography,projectional radiography",747.10,Q25.1,"C0003492,C2930803",D001017
Arachnoid cyst, , , , , ,Galassi classification, ,G93.0,"C0078981,C0751615",D016080
Poland syndrome, , , , , , ,756.89,Q79.8,"C0032357,C1868156",D011045
biliary atresia, , , , , , ,751.61,Q44.2,C0005411,D001656
choanal atresia, , , , , , ,748.0,Q30.0,"C0008297,C0220723",D002754
pulmonary sequestration, , , , , , , ,Q33.2,C0006288,D001998
pseudoachondroplasia, , , , , , ,756.9,Q77.8,C0410538,C535819
neurogenic arthrogryposis multiplex congenita, , , , , , , ,Q74.3,C1859721,C536614
Dandy-Walker syndrome, , , , , , , ,Q03.1,C0010964,D003616
diffuse idiopathic skeletal hyperostosis, , , , , , ,"721.6,733.99",M48.1,"C0020498,C1862851",D004057
Goldenhar syndrome, , , , , , ,759.89,Q87.0,"C0265240,C0432130,C3495417,C4023411",D006053
Denys-Drash syndrome, , , , , , ,189.0,N04.1,C0950121,D030321
Crouzon syndrone, , , , , , , ,Q75.1,"C0010273,C2931196",D003394
Azygos continuation, , , , , , , ,Q26.8, , 
sirenomelia, , , , , , , ,Q87.2,C0037205,C538595
Phocomelia due to thalidomide,phocomelia, , , ,thalidomide, ,759.89,Q86.8,C0432365, 
Legius syndrome, , , , , , ,709.09,Q85.0,C1969623,C548032
tracheomalacia, , , , , , ,748.3,Q32.0,"C0392109,C0948187",D055090
bronchopulmonary dysplasia, ,Palivizumab, , , , , ,P27.1,C0006287,D001997
Barth syndrome,"3-methylglutaconic aciduria,Macrotia,X-linked recessive,agranulocytosis,clubfoot,dilated cardiomyopathy,endocardial fibroelastosis,enophthalmia,exercise intolerance,failure to thrive,fatigue,gait abnormality,heart arrhythmia,heart failure,hypertrophic cardiomyopathy,lipoatrophy,muscular disease,myopathic facies,neutropenia,organic acidemia,palmoplantar keratosis,progenism,sensorineural hearing loss", , , , , , ,"E71.1,E78.71",C0574083,D056889
mucolipidosis type IV, , , , , , , ,E75.1,C0238286, 
mitochondrial disease, , , , , , , ,E88.4,C0751651,D028361
acrodermatitis enteropathica,"abnormality of the eyebrow,alopecia,blister,cerebral cortical atrophy,chronic diarrhea,erythema,malabsorption,pimple,short stature,xeroderma", ,acrodermatitis, , , ,686.8,E83.2,C0221036,C538178
congenital heart disease, ,alprostadil, , , , ,746.9,Q24.9,"C0018798,C0152021",D006330
pycnodysostosis, , , , , , , ,Q78.8,C0238402,D058631
Smith-Lemli-Opitz syndrome, , , , , , ,759.89,"E78.72,Q87.1","C0175694,C0282644,C2713347",D019082
Borjeson-Forssman-Lehmann syndrome, , , , , , ,759.89,Q87.8,C0265339,C536575
Böök syndrome, , , , , , , ,Q82.4,C0457014,C562993
CHARGE syndrome, , , , , , ,759.89,"Q87.8,Q89.8","C0265354,C2936502",D058747
calvarial hyperostosis, , , , , , , ,M85.2,"C1863351,C4280519,C4280520",C537963
